"heure";"DateUTC";"LE";"Rnet";"Swin";"Swout";"Lwin";"Lwout";"Ws";"Tair";"RH";"VPD";"Tsoil1";"Tsoil2";"Hsoil1";"Hsoil2";"LAI";"P";"PA24Hv";"PA24H"
0;"01/01/2009 00:00";NA;-63.475;-0.01;-0.0105;NA;NA;NA;19.55;27.35;1.65201257391598;28.275;29.405;0.05;0.027;0.713;0;0;0
0.5;"01/01/2009 00:30";NA;-63.745;-0.003;-0.004;NA;NA;1.776;23.61;19;2.36096960038429;27.935;29.355;0.05;0.027;0.713;0;0;0
1;"01/01/2009 01:00";NA;-63.925;5e-04;-0.0015;NA;NA;1.855;23.25;19.62;2.29259890297582;27.73;29.32;0.05;0.026;0.713;0;0;0
1.5;"01/01/2009 01:30";NA;-64.13;-0.0085;-0.0075;NA;NA;2.1415;22.75;20.68;2.19497107099328;27.535;29.29;0.05;0.026;0.713;0;0;0
2;"01/01/2009 02:00";NA;-61.985;-0.015;-0.0095;NA;NA;1.993;22.44;21.185;2.14035844886866;27.34;29.25;0.05;0.026;0.713;0;0;0
2.5;"01/01/2009 02:30";NA;-65.73;5e-04;0;NA;NA;1.8595;22.075;21.53;2.08419594944429;27.155;29.21;0.05;0.026;0.713;0;0;0
3;"01/01/2009 03:00";NA;-63.38;-0.0035;-0.005;NA;NA;1.985;21.86;21.81;2.04971475857095;26.965;29.17;0.05;0.026;0.713;0;0;0
3.5;"01/01/2009 03:30";NA;-62.445;-0.016;-0.0095;NA;NA;2.2475;21.485;22.385;1.98854831294158;26.795;29.13;0.05;0.026;0.712;0;0;0
4;"01/01/2009 04:00";NA;-63.41;-0.013;-0.01;NA;NA;2.392;21.165;23.04;1.93348392729976;26.625;29.085;0.05;0.026;0.712;0;0;0
4.5;"01/01/2009 04:30";NA;-65.435;-0.002;-0.004;NA;NA;2.29;20.895;23.615;1.88748131158362;26.43;29.02;0.05;0.026;0.712;0;0;0
5;"01/01/2009 05:00";NA;-65.49;-0.0025;-0.007;NA;NA;2.2715;20.385;24.645;1.80444530747177;26.255;28.95;0.05;0.026;0.712;0;0;0
5.5;"01/01/2009 05:30";NA;-64.76;-0.017;-0.01;NA;NA;2.0615;20.07;25.15;1.75780189343228;26.11;28.91;0.05;0.026;0.712;0;0;0
6;"01/01/2009 06:00";NA;-62.03;0.108;0.0135;NA;NA;1.9275;19.85;25.13;1.73448130545669;25.975;28.87;0.05;0.026;0.712;0;0;0
6.5;"01/01/2009 06:30";NA;-58.675;7.114;1.284;NA;NA;1.697;19.465;25.995;1.67395922362491;25.835;28.825;0.05;0.026;0.712;0;0;0
7;"01/01/2009 07:00";NA;-37.18;40.17;8.651;NA;NA;1.488;16.25;7.875;1.70203302002747;25.68;28.76;0.05;0.026;0.712;0;0;0
7.5;"01/01/2009 07:30";NA;-24.88;99.65;24.07;NA;NA;1.5615;18.29;34.215;1.38275208641737;25.445;28.61;0.05;0.026;0.712;0;0;0
8;"01/01/2009 08:00";NA;6.525;253.55;49.94;NA;NA;1.97;21.535;27.64;1.85959173238546;25.12;28.31;0.05;0.026;0.712;0;0;0
8.5;"01/01/2009 08:30";NA;106.05;296.6;74.685;NA;NA;2.2275;23.875;21.61;2.32160058349854;24.9;27.985;0.05;0.0265;0.712;0;0;0
9;"01/01/2009 09:00";NA;153.4;442.55;96.25;NA;NA;2.845;26.07;18.475;2.75177401352873;24.97;27.76;0.05;0.027;0.712;0;0;0
9.5;"01/01/2009 09:30";117.008;277;601.9;117.1;NA;NA;4.031;27.335;16.235;3.04570741303997;25.315;27.65;0.05;0.027;0.712;0;0;0
10;"01/01/2009 10:00";143.042;342.95;689.1;134.3;NA;NA;3.8205;28.565;14.83;3.32680483353639;25.905;27.635;0.05;0.027;0.712;0;0;0
10.5;"01/01/2009 10:30";157.75;380.25;753.55;147.45;NA;NA;4.167;29.78;13.075;3.64199748367523;26.54;27.605;0.05;0.027;0.712;0;0;0
11;"01/01/2009 11:00";123.348;414.85;806.3;157.45;NA;NA;4.4195;30.23;12.62;3.75678327500338;27.295;27.615;0.0505;0.027;0.712;0;0;0
11.5;"01/01/2009 11:30";180.159;438.7;844.5;163.65;NA;NA;2.8305;31.375;12.16;4.03132855909308;28.085;27.605;0.051;0.027;0.711;0;0;0
12;"01/01/2009 12:00";157.927;449.6;866.5;165.35;NA;NA;3.5355;30.885;10.915;3.97609740559421;28.865;27.58;0.051;0.027;0.711;0;0;0
12.5;"01/01/2009 12:30";133.878;462.5;872.5;163.45;NA;NA;3.438;31.23;10.75;4.06244098516865;29.705;27.615;0.051;0.027;0.711;0;0;0
13;"01/01/2009 13:00";176.024;441.05;842;154.6;NA;NA;2.9265;17.2195;2.57;1.91435163162799;30.505;27.645;0.051;0.027;0.711;0;0;0
13.5;"01/01/2009 13:30";102.456;411.6;791;141.6;NA;NA;2.276;33.08;10.55;4.51969716349542;31.22;27.695;0.051;0.027;0.711;0;0;0
14;"01/01/2009 14:00";129.488;374.85;723.25;126.95;NA;NA;2.8545;33.275;10.535;4.57010502454351;31.775;27.785;0.051;0.027;0.711;0;0;0
14.5;"01/01/2009 14:30";119.637;317.95;629.85;109.15;NA;NA;2.25;32.79;10.55;4.44673710171624;32.25;27.925;0.051;0.027;0.711;0;0;0
15;"01/01/2009 15:00";105.612;261.8;552.05;95.15;NA;NA;2.3685;32.87;10.275;4.48049350720899;32.47;28.055;0.051;0.027;0.711;0;0;0
15.5;"01/01/2009 15:30";73.3598;197.55;374.75;79.06;NA;NA;2.2175;32.915;10.37;4.4870702283932;32.535;28.235;0.051;0.027;0.711;0;0;0
16;"01/01/2009 16:00";97.0974;110.05;215.25;62.285;NA;NA;1.977;32.94;10.665;4.47858113115823;32.525;28.385;0.051;0.027;0.711;0;0;0
16.5;"01/01/2009 16:30";76.702;-25.975;111.05;38.53;NA;NA;1.7795;32.62;10.96;4.38425653576825;32.455;28.535;0.051;0.027;0.711;0;0;0
17;"01/01/2009 17:00";60.1831;-54.515;99.145;17.79;NA;NA;1.892;32.07;11.235;4.23730011689712;32.38;28.75;0.051;0.027;0.711;0;0;0
17.5;"01/01/2009 17:30";28.1588;-75.94;32.62;6.9535;NA;NA;1.6175;31.235;11.655;4.02239045509454;32.275;28.995;0.051;0.027;0.711;0;0;0
18;"01/01/2009 18:00";5.70962;-84.1;4.6625;0.886;NA;NA;1.684;30.07;12.55;3.72548448543276;32.075;29.23;0.051;0.027;0.711;0;0;0
18.5;"01/01/2009 18:30";5.4996;-78.125;-0.0255;-0.037;NA;NA;1.822;29.16;13.165;3.51062146533251;31.785;29.38;0.051;0.027;0.711;0;0;0
19;"01/01/2009 19:00";1.46985;-74.54;-0.0325;-0.0405;NA;NA;1.894;28.365;13.775;3.32915588409625;31.415;29.485;0.051;0.027;0.711;0;0;0
19.5;"01/01/2009 19:30";6.13688;-71.22;-0.045;-0.0335;NA;NA;2.1505;27.5;14.63;3.13416337767233;31.02;29.55;0.051;0.027;0.71;0;0;0
20;"01/01/2009 20:00";10.6242;-72.315;-0.034;-0.0335;NA;NA;2.333;26.85;15.32;2.99266305693451;30.625;29.585;0.051;0.027;0.71;0;0;0
20.5;"01/01/2009 20:30";13.4601;-72.705;-0.0295;-0.034;NA;NA;2.5515;26.655;15.425;2.95488975469651;30.24;29.6;0.051;0.027;0.71;0;0;0
21;"01/01/2009 21:00";11.4476;-72.665;-0.025;-0.0285;NA;NA;2.306;26.31;15.57;2.8904890556412;29.85;29.57;0.051;0.027;0.71;0;0;0
21.5;"01/01/2009 21:30";11.2809;-71.33;-0.0185;-0.0205;NA;NA;2.3295;25.87;15.685;2.81249058743775;29.53;29.55;0.051;0.027;0.71;0;0;0
22;"01/01/2009 22:00";12.8846;-67.73;-0.023;-0.0235;NA;NA;2.5125;25.495;16.045;2.73893828605662;29.24;29.54;0.051;0.027;0.71;0;0;0
