"heure";"DateUTC";"LE";"Rnet";"Swin";"Swout";"Lwin";"Lwout";"Ws";"Tair";"RH";"VPD";"Tsoil1";"Tsoil2";"Hsoil1";"Hsoil2";"LAI";"P";"PA24Hv";"PA24H"
0;"01/01/2017 00:00";23.068;NA;NA;NA;NA;NA;2.51645;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
0.5;"01/01/2017 00:30";23.1491;-82.500513;-5.1428665;2.4160965;353.2362;428.17775;2.3229;22.155;28.2;1.91635135105489;27.16;NA;NA;NA;NA;0;0;0
1;"01/01/2017 01:00";19.1442;-80.7967345;-5.090673;2.3370615;351.944;425.313;2.30885;21.62;29;1.83414969279869;27.1;NA;NA;NA;NA;0;0;0
1.5;"01/01/2017 01:30";23.3878;-80.573214;-4.9405825;2.5420315;351.0421;424.1327;2.30284;21.36;29.195;1.80024144801992;27.045;NA;NA;NA;NA;0;0;0
2;"01/01/2017 02:00";24.4426;-80.8417205;-5.056565;2.3887555;349.78645;423.18285;2.27775;21.215;29.18;1.78469203114141;26.985;NA;NA;NA;NA;0;0;0
2.5;"01/01/2017 02:30";22.2653;-80.369999;-4.9103685;2.3987805;348.1402;421.20105;2.41865;20.765;29.86;1.71936408390748;26.925;NA;NA;NA;NA;0;0;0
3;"01/01/2017 03:00";17.3297;-78.731451;-5.1332405;2.2573605;347.11585;418.4567;1.99372;20.16;31.36;1.62096188090288;26.865;NA;NA;NA;NA;0;0;0
3.5;"01/01/2017 03:30";21.9698;-78.1406355;-4.82175;2.6018855;345.0978;415.8148;2.07857;19.545;32.555;1.53317805561799;26.805;NA;NA;NA;NA;0;0;0
4;"01/01/2017 04:00";26.3309;-79.0931245;-4.696376;2.7336985;344.1513;415.81435;2.08139;19.92;31.04;1.60451067327471;26.745;NA;NA;NA;NA;0;0;0
4.5;"01/01/2017 04:30";30.1616;-80.031274;-4.8124065;2.5309175;343.64815;416.3361;2.24801;20.03;30.635;1.6249633469892;26.675;NA;NA;NA;NA;0;0;0
5;"01/01/2017 05:00";29.9676;-80.3147755;-4.953108;2.3973675;342.6971;415.6614;2.20457;19.935;30.735;1.61310517456169;26.615;NA;NA;NA;NA;0;0;0
5.5;"01/01/2017 05:30";27.862;-79.132081;-5.046286;2.313295;341.6773;413.4498;1.97455;19.53;31.685;1.55150862323182;26.555;NA;NA;NA;NA;0;0;0
6;"01/01/2017 06:00";24.3452;-78.901905;-4.6198005;2.4074045;340.59535;412.47005;2.38261;19.3;32.29;1.51593083621769;26.495;NA;NA;NA;NA;0;0;0
6.5;"01/01/2017 06:30";20.4367;-71.793707;3.70827;3.576577;339.43095;411.35635;2.2955;19.02;32.96;1.47497156901333;26.435;NA;NA;NA;NA;0;0;0
7;"01/01/2017 07:00";29.1527;-27.004576;59.00808;13.294056;339.1542;411.8728;2.40999;18.795;34.155;1.428472337976;26.385;NA;NA;NA;NA;0;0;0
7.5;"01/01/2017 07:30";68.8817;49.80525;156.30385;29.61485;341.01555;417.8993;2.78975;19.53;33.29;1.5150573118026;26.34;NA;NA;NA;NA;0;0;0
8;"01/01/2017 08:00";88.454;140.56261;270.90725;48.14184;344.6039;426.8067;2.93841;20.765;31.14;1.68798703760862;26.26;NA;NA;NA;NA;0;0;0
8.5;"01/01/2017 08:30";119.252;229.936835;382.59515;65.405415;349.20855;436.46145;2.73728;22.16;28.98;1.8961101149309;26.13;NA;NA;NA;NA;0;0;0
9;"01/01/2017 09:00";126.641;309.29597;484.20735;82.45808;354.73845;447.19175;2.77318;23.61;26.785;2.1340541887918;25.84;NA;NA;NA;NA;0;0;0
9.5;"01/01/2017 09:30";131.516;376.67506;572.19;98.66504;359.73295;456.58285;3.35175;24.67;25.12;2.3258036502975;25.805;NA;NA;NA;NA;0;0;0
10;"01/01/2017 10:00";150.168;429.2507;642.77875;112.60465;363.9723;464.8957;3.223;25.605;23.985;2.49613840795865;25.97;NA;NA;NA;NA;0;0;0
10.5;"01/01/2017 10:30";145.209;469.12115;699.75645;124.8657;368.22015;473.98975;2.97124;26.515;23.625;2.64650201834106;26.025;NA;NA;NA;NA;0;0;0
11;"01/01/2017 11:00";152.871;492.90285;736.7971;133.30785;373.3772;483.9636;2.28888;27.575;22.885;2.84353369749919;26.065;NA;NA;NA;NA;0;0;0
11.5;"01/01/2017 11:30";152.614;509.4098;760.9947;138.66395;378.0633;490.98425;2.68233;28.535;21.395;3.06503451721553;26.19;NA;NA;NA;NA;0;0;0
12;"01/01/2017 12:00";155.786;511.58775;770.7076;142.7993;381.3473;497.66785;2.41341;29.415;20.595;3.25779037914796;26.32;NA;NA;NA;NA;0;0;0
12.5;"01/01/2017 12:30";180.416;495.9655;757.98705;142.00105;386.4286;506.4491;1.48264;30.605;19.595;3.53182648330166;26.41;NA;NA;NA;NA;0;0;0
13;"01/01/2017 13:00";198.385;469.4407;729.55345;138.6238;389.5629;511.05185;1.47224;31.065;19.15;3.64572370100768;26.52;NA;NA;NA;NA;0;0;0
13.5;"01/01/2017 13:30";170.186;434.68685;690.42645;135.05505;390.63245;511.317;1.7264;31.49;18.62;3.75930673326823;26.72;NA;NA;NA;NA;0;0;0
14;"01/01/2017 14:00";140.665;387.1009;633.81425;126.87875;393.1271;512.9617;1.41483;32.185;17.94;3.94274405998395;26.875;NA;NA;NA;NA;0;0;0
14.5;"01/01/2017 14:30";158.345;337.10135;573.52805;118.2672;394.31495;512.47445;1.38998;32.225;18.09;3.9444292247901;27.135;NA;NA;NA;NA;0;0;0
15;"01/01/2017 15:00";156.643;272.4601;494.9552;105.76925;395.297;512.02285;1.17084;32.555;18.065;4.01968482731541;27.375;NA;NA;NA;NA;0;0;0
15.5;"01/01/2017 15:30";130.035;208.85356;413.8805;92.68379;394.4293;506.77245;1.67347;32.405;18.29;3.97493116881626;27.615;NA;NA;NA;NA;0;0;0
16;"01/01/2017 16:00";143.274;128.130275;309.84585;74.518625;393.10285;500.2998;1.26249;32.155;18.755;3.89698199430908;27.795;NA;NA;NA;NA;0;0;0
16.5;"01/01/2017 16:30";98.0923;22.53952;178.8125;54.72363;391.0845;492.63385;1.10987;31.75;19.65;3.76681944581703;27.915;NA;NA;NA;NA;0;0;0
17;"01/01/2017 17:00";48.6574;-25.9577;101.464275;33.565825;388.2609;482.11705;1.14509;30.555;21.945;3.41882530874104;27.98;NA;NA;NA;NA;0;0;0
17.5;"01/01/2017 17:30";17.5736;-60.5808555;37.55272;13.2054755;384.32285;469.25095;1.31692;28.315;27.32;2.79804518527224;28.015;NA;NA;NA;NA;0;0;0
18;"01/01/2017 18:00";3.42179;-81.3666035;-0.082199;3.3651045;380.7608;458.6801;1.32063;26.345;28.055;2.46814956016771;28.02;NA;NA;NA;NA;0;0;0
18.5;"01/01/2017 18:30";11.9377;-82.7297755;-5.29074;2.6394355;378.29645;453.09605;1.68742;24.875;30.91;2.17237471489521;27.995;NA;NA;NA;NA;0;0;0
19;"01/01/2017 19:00";28.5453;-80.3592325;-5.467713;2.1299695;374.5413;447.30285;2.06851;23.125;36.71;1.79158082809923;27.945;NA;NA;NA;NA;0;0;0
19.5;"01/01/2017 19:30";18.9411;-80.386651;-5.2710685;2.5485325;370.94465;443.5117;1.95539;22.625;36.45;1.74530068452619;27.88;NA;NA;NA;NA;0;0;0
20;"01/01/2017 20:00";16.4561;-79.809029;-4.876454;2.916775;368.6668;440.6826;2.04886;22.165;37.21;1.676893800205;27.805;NA;NA;NA;NA;0;0;0
20.5;"01/01/2017 20:30";17.7665;-80.715487;-5.391389;2.294198;365.13875;438.16865;2.11105;22.54;35.565;1.76050224084762;27.72;NA;NA;NA;NA;0;0;0
21;"01/01/2017 21:00";18.1495;-79.3309345;-5.025181;2.7465035;362.43565;433.9949;1.99688;21.3;37.7;1.5781867033149;27.65;NA;NA;NA;NA;0;0;0
21.5;"01/01/2017 21:30";23.1493;-79.8564705;-4.90714;2.7211305;360.8303;433.0585;2.14602;21.79;35.465;1.68454283962289;27.575;NA;NA;NA;NA;0;0;0
