"heure";"DateUTC";"LE";"Rnet";"Swin";"Swout";"Lwin";"Lwout";"Ws";"Tair";"RH";"VPD";"Tsoil1";"Tsoil2";"Hsoil1";"Hsoil2";"LAI";"P";"PA24Hv";"PA24H"
0;"01/01/2012 00:00";NA;-68.36724993;0.203886109;1.848820374;NA;NA;2.0575;21.615;23.27;1.98156754629066;NA;NA;0.05;0.033;0.708;0;0;0
0.5;"01/01/2012 00:30";NA;-59.03665567;-7.002819523;-12.26730537;NA;NA;2.1;21.9;22.5;2.03659060431159;NA;NA;0.05;0.033;0.708;0;0;0
1;"01/01/2012 01:00";NA;-70.62205935;2.340313361;6.394435522;NA;NA;2.2;21.7;22.5;2.01187674552073;NA;NA;0.05;0.033;0.708;0;0;0
1.5;"01/01/2012 01:30";NA;-71.78574307;2.689882913;6.661121675;NA;NA;2.2;21.5;22.5;1.98742528350798;NA;NA;0.05;0.033;0.708;0;0;0
2;"01/01/2012 02:00";NA;-72.02454162;2.788167686;6.607029672;NA;NA;2.5;21.2;22.7;1.9461994863858;NA;NA;0.05;0.033;0.708;0;0;0
2.5;"01/01/2012 02:30";NA;-71.85830109;1.146710656;5.725204235;NA;NA;2.8;21;22.7;1.92245517209131;NA;NA;0.05;0.033;0.707;0;0;0
3;"01/01/2012 03:00";NA;-70.66981906;2.110306728;6.300089006;NA;NA;2.5;20.9;22.7;1.9106782444933;NA;NA;0.05;0.033;0.707;0;0;0
3.5;"01/01/2012 03:30";NA;-71.44132208;2.627061718;6.740372748;NA;NA;2.3;20.7;22.6;1.88975495653643;NA;NA;0.05;0.033;0.707;0;0;0
4;"01/01/2012 04:00";NA;-70.04435054;1.985677583;6.169261837;NA;NA;2.4;20.6;22.5;1.88057804188217;NA;NA;0.05;0.033;0.707;0;0;0
4.5;"01/01/2012 04:30";NA;-70.3768316;2.245068323;6.317700356;NA;NA;2.5;20.1;23.4;1.80224106880642;NA;NA;0.05;0.033;0.707;0;0;0
5;"01/01/2012 05:00";NA;-73.26537564;2.498379593;6.563001298;NA;NA;2.5;19.8;24.2;1.75059209311401;NA;NA;0.05;0.033;0.706;0;0;0
5.5;"01/01/2012 05:30";NA;-72.56367528;1.561127894;6.199452722;NA;NA;2.4;19.8;24.2;1.75059209311401;NA;NA;0.05;0.033;0.706;0;0;0
6;"01/01/2012 06:00";NA;-71.56255826;2.823631264;6.773079541;NA;NA;2;19.7;24.6;1.73058711178359;NA;NA;0.05;0.032;0.706;0;0;0
6.5;"01/01/2012 06:30";NA;-60.27657124;18.5917512;9.63366591;NA;NA;1.9;19.4;25.4;1.68061192756612;NA;NA;0.05;0.032;0.706;0;0;0
7;"01/01/2012 07:00";NA;-24.28228155;76.50883998;22.55284885;NA;NA;1.1;19.4;25.3;1.68286475856822;NA;NA;0.05;0.032;0.706;0;0;0
7.5;"01/01/2012 07:30";NA;9.976126334;131.0214253;32.36488653;NA;NA;1.2;19.8;25.4;1.72287823412012;NA;NA;0.05;0.032;0.705;0;0;0
8;"01/01/2012 08:00";NA;82.12084321;235.7909666;52.05185957;NA;NA;1.7;20.4;27.2;1.74487797880424;NA;NA;0.05;0.033;0.705;0;0;0
8.5;"01/01/2012 08:30";NA;171.5692707;369.0326946;77.22351008;NA;NA;2.3;22.3;22.9;2.07604437039125;NA;NA;0.05;0.033;0.705;0;0;0
9;"01/01/2012 09:00";NA;236.4490008;465.3923017;93.65238342;NA;NA;3.4;24;19;2.4169731565041;NA;NA;0.05;0.033;0.705;0;0;0
9.5;"01/01/2012 09:30";NA;292.7503521;550.606213;107.6156678;NA;NA;2.8;25.4;16.3;2.71526335333881;NA;NA;0.05;0.033;0.705;0;0;0
10;"01/01/2012 10:00";NA;338.4894597;623.3572097;119.5662265;NA;NA;2.4;26.8;15.1;2.99163793429563;NA;NA;0.05;0.033;0.704;0;0;0
10.5;"01/01/2012 10:30";NA;376.5135371;684.455888;129.0008781;NA;NA;2.6;28;13.9;3.25452004339992;NA;NA;0.05;0.033;0.704;0;0;0
11;"01/01/2012 11:00";NA;403.7916795;731.1664862;138.183939;NA;NA;2.7;28.9;13.2;3.45688565979399;NA;NA;0.05;0.033;0.704;0;0;0
11.5;"01/01/2012 11:30";NA;411.6904009;751.4313878;142.4609811;NA;NA;2.9;29.5;12.8;3.59515612930039;NA;NA;0.05;0.033;0.704;0;0;0
12;"01/01/2012 12:00";NA;414.0783865;759.5373485;143.3415486;NA;NA;2.2;30.4;12.5;3.79871680795447;NA;NA;0.05;0.033;0.704;0;0;0
12.5;"01/01/2012 12:30";NA;405.5367459;754.4711231;143.9705254;NA;NA;2.5;30.8;12.2;3.89980478495782;NA;NA;0.05;0.033;0.703;0;0;0
13;"01/01/2012 13:00";NA;384.5959496;726.1002608;138.9387112;NA;NA;2;31.6;12;4.09054771805031;NA;NA;0.05;0.033;0.703;0;0;0
13.5;"01/01/2012 13:30";NA;354.1950569;684.3545635;131.5167852;NA;NA;1.9;32.3;11.8;4.26533217770862;NA;NA;0.05;0.033;0.703;0;0;0
14;"01/01/2012 14:00";NA;317.8242002;630.0446272;121.3273615;NA;NA;1.9;32.8;11.8;4.38706093813863;NA;NA;0.05;0.033;0.703;0;0;0
14.5;"01/01/2012 14:30";NA;265.839592;552.7340276;108.3704399;NA;NA;2.7;32.8;11.9;4.38208694614527;NA;NA;0.05;0.033;0.703;0;0;0
15;"01/01/2012 15:00";NA;228.3665882;495.6883296;98.1810162;NA;NA;2.3;33.1;11.9;4.45647814756599;NA;NA;0.05;0.033;0.702;0;0;0
15.5;"01/01/2012 15:30";NA;163.0551838;397.5048814;80.70804141;NA;NA;1.8;33.4;12.2;4.51653079399283;NA;NA;0.05;0.033;0.702;0;0;0
16;"01/01/2012 16:00";NA;83.30565142;278.549909;59.23477433;NA;NA;2.2;33.2;12.3;4.46117020498369;NA;NA;0.05;0.033;0.702;0;0;0
16.5;"01/01/2012 16:30";NA;21.49356427;185.8379841;42.00081072;NA;NA;2.1;32.9;12.8;4.36174529152918;NA;NA;0.05;0.033;0.702;0;0;0
17;"01/01/2012 17:00";NA;-30.16958436;105.6902983;26.33928904;NA;NA;1.9;32.4;13.3;4.21649080871184;NA;NA;0.05;0.033;0.702;0;0;0
17.5;"01/01/2012 17:30";NA;-74.20954839;34.09440093;10.47649479;NA;NA;1.8;31.4;14.3;3.93870114036695;NA;NA;0.05;0.033;0.701;0;0;0
18;"01/01/2012 18:00";NA;-89.26487874;1.989730563;4.572918784;NA;NA;2.1;30.2;14.9;3.65247756915366;NA;NA;0.05;0.033;0.701;0;0;0
18.5;"01/01/2012 18:30";NA;-87.91934073;-0.611269558;5.2874364;NA;NA;2.2;29.2;15.7;3.41601145127095;NA;NA;0.05;0.033;0.701;0;0;0
19;"01/01/2012 19:00";NA;-88.28121239;0.683657655;6.384371894;NA;NA;2.3;28.3;17.2;3.18487001633772;NA;NA;0.05;0.033;0.701;0;0;0
19.5;"01/01/2012 19:30";NA;-88.45939285;0.539776853;6.072399414;NA;NA;2.1;27.5;18.1;3.0067703014099;NA;NA;0.05;0.033;0.701;0;0;0
20;"01/01/2012 20:00";NA;-85.56717498;0.086856303;5.700045164;NA;NA;2.1;27;18.3;2.91288292363746;NA;NA;0.05;0.033;0.7;0;0;0
20.5;"01/01/2012 20:30";NA;-85.03447051;0.504313276;5.866095032;NA;NA;2.3;26.6;18.6;2.83477363364518;NA;NA;0.05;0.033;0.7;0;0;0
21;"01/01/2012 21:00";NA;-84.07284711;0.045313254;5.614504322;NA;NA;2.6;26.1;19;2.73890306759534;NA;NA;0.05;0.033;0.7;0;0;0
21.5;"01/01/2012 21:30";NA;-83.77343046;1.26120735;6.084978949;NA;NA;2.7;25.7;18.9;2.67815421086473;NA;NA;0.05;0.033;0.7;0;0;0
22;"01/01/2012 22:00";NA;-86.51226618;1.181160989;5.962957455;NA;NA;3;25.6;17.9;2.69515513038686;NA;NA;0.05;0.033;0.7;0;0;0
22.5;"01/01/2012 22:30";NA;-86.68952818;0.452637777;5.552864598;NA;NA;2.9;25.5;16.3;2.73142949037459;NA;NA;0.05;0.033;0.699;0;0;0
23;"01/01/2012 23:00";NA;-85.75729537;0.279372868;5.318885238;NA;NA;2.7;25;16.4;2.64826217183572;NA;NA;0.05;0.033;0.699;0;0;0
23.5;"01/01/2012 23:30";NA;-83.90476966;0.187167566;5.183026255;NA;NA;2.5;24.3;17.6;2.50337109334255;NA;NA;0.05;0.033;0.699;0;0;0
0;"02/01/2012 00:00";NA;-85.34215327;0.959260317;5.845967775;NA;NA;NA;23.33885978;19.55808394;2.30670138897275;NA;NA;NA;NA;0.699;0;0;0
0.5;"02/01/2012 00:30";NA;-85.33021334;0.464796717;4.964142338;NA;NA;2.9;23.7;17.2;2.4265429062405;NA;NA;0.05;0.033;0.698;0;0;0
1;"02/01/2012 01:00";NA;-85.72514941;0.434399365;5.089937692;NA;NA;2.9;23.3;17;2.37448153764077;NA;NA;0.05;0.033;0.698;0;0;0
1.5;"02/01/2012 01:30";NA;-83.41523263;-0.343772856;4.482346129;NA;NA;2.6;22.8;17.8;2.28156887393863;NA;NA;0.05;0.033;0.698;0;0;0
2;"02/01/2012 02:00";NA;-80.18490816;0.603357982;5.337911786;NA;NA;2.6;22.3;18.2;2.20259960438397;NA;NA;0.05;0.033;0.698;0;0;0
2.5;"02/01/2012 02:30";NA;-80.18490816;0.603357982;5.337911786;NA;NA;2.6;22;18.1;2.16537964642046;NA;NA;0.05;0.033;0.697;0;0;0
3;"02/01/2012 03:00";NA;-80.18490816;0.603357982;5.337911786;NA;NA;2.5;21.7;18.4;2.11831151528376;NA;NA;0.05;0.033;0.697;0;0;0
3.5;"02/01/2012 03:30";NA;-80.18490816;0.603357982;5.337911786;NA;NA;2.4;21.3;19;2.0518960348075;NA;NA;0.05;0.033;0.697;0;0;0
4;"02/01/2012 04:00";NA;-78.1460507;0.782955673;5.960441548;NA;NA;2.2;20.8;19.6;1.97511952616158;NA;NA;0.05;0.033;0.697;0;0;0
4.5;"02/01/2012 04:30";NA;-76.37618603;1.019041776;6.093784624;NA;NA;2.3;20.4;20.3;1.91025789712497;NA;NA;0.05;0.033;0.696;0;0;0
5;"02/01/2012 05:00";NA;-74.45569459;0.762690771;5.661048604;NA;NA;2.3;19.9;21.3;1.82886661612728;NA;NA;0.05;0.033;0.696;0;0;0
5.5;"02/01/2012 05:30";NA;-72.68858529;0.747492095;4.605625576;NA;NA;1.8;19.1;23.4;1.69373295964859;NA;NA;0.05;0.033;0.696;0;0;0
6;"02/01/2012 06:00";NA;-50.88076661;-38.59580112;-56.74854285;NA;NA;1.6;18.7;24.2;1.63470430089735;NA;NA;0.05;0.033;0.696;0;0;0
6.5;"02/01/2012 06:30";NA;-61.88752277;13.65503473;4.85540437;NA;NA;1.7;18.7;23.7;1.64548731079773;NA;NA;0.05;0.032;0.695;0;0;0
7;"02/01/2012 07:00";NA;-40.89582162;45.81260519;12.61630702;NA;NA;1.4;18.1;25.4;1.5494439535735;NA;NA;0.05;0.032;0.695;0;0;0
7.5;"02/01/2012 07:30";NA;-3.197661243;102.5612589;26.80324807;NA;NA;1.6;18.5;26.2;1.57177564982223;NA;NA;0.05;0.032;0.695;0;0;0
8;"02/01/2012 08:00";NA;45.46988586;177.19165;44.11892039;NA;NA;1.7;19.8;25;1.73211618711809;NA;NA;0.05;0.032;0.695;0;0;0
8.5;"02/01/2012 08:30";NA;111.4215022;265.7558622;62.39657449;NA;NA;2.2;21.6;21.1;2.03574050084236;NA;NA;0.05;0.033;0.694;0;0;0
9;"02/01/2012 09:00";NA;180.3704462;354.0561763;80.50015571;NA;NA;2.6;22.8;19.1;2.2454856679031;NA;NA;0.05;0.033;0.694;0;0;0
9.5;"02/01/2012 09:30";NA;286.2293147;542.6015768;106.609305;NA;NA;3.1;23.7;18.1;2.40016743986832;NA;NA;0.05;0.033;0.694;0;0;0
10;"02/01/2012 10:00";NA;325.7229216;606.3346924;118.1824776;NA;NA;2.8;24.8;18;2.56679287983668;NA;NA;0.05;0.033;0.694;0;0;0
10.5;"02/01/2012 10:30";NA;357.5014984;657.908867;126.7365618;NA;NA;2.8;25.9;17.8;2.74681181685159;NA;NA;0.05;0.033;0.693;0;0;0
11;"02/01/2012 11:00";NA;390.4740679;710.6989356;136.1712134;NA;NA;2.5;27.2;16.8;3.00134706770123;NA;NA;0.05;0.033;0.693;0;0;0
11.5;"02/01/2012 11:30";NA;404.1590619;739.2724469;142.2093904;NA;NA;2.6;27.9;16.1;3.1529427960233;NA;NA;0.05;0.033;0.693;0;0;0
12;"02/01/2012 12:00";NA;406.4552019;749.4048977;145.983251;NA;NA;2.3;28.7;15.6;3.32261995648957;NA;NA;0.05;0.033;0.693;0;0;0
12.5;"02/01/2012 12:30";NA;404.9856723;750.4181428;146.6122278;NA;NA;2.5;29.3;15;3.46430182489684;NA;NA;0.05;0.033;0.692;0;0;0
13;"02/01/2012 13:00";NA;387.0757808;729.1399961;143.0899579;NA;NA;2.7;30.1;14.4;3.65294841748689;NA;NA;0.05;0.033;0.692;0;0;0
13.5;"02/01/2012 13:30";NA;364.665455;695.9055575;135.6680319;NA;NA;2.1;30.5;14.1;3.75063393631076;NA;NA;0.05;0.033;0.692;0;0;0
14;"02/01/2012 14:00";NA;334.6319446;650.9174759;126.3591757;NA;NA;2.3;30.9;13.8;3.8506218085996;NA;NA;0.05;0.033;0.692;0;0;0
14.5;"02/01/2012 14:30";NA;287.2396162;579.2810487;112.5216867;NA;NA;2.1;31.2;13.4;3.93510364203492;NA;NA;0.05;0.033;0.691;0;0;0
15;"02/01/2012 15:00";NA;229.7442722;491.6353493;96.92306265;NA;NA;1.9;31.6;13.3;4.03011917221547;NA;NA;0.05;0.033;0.691;0;0;0
15.5;"02/01/2012 15:30";NA;174.4164842;407.3333586;81.12316608;NA;NA;2.5;31.7;13.2;4.05769183667196;NA;NA;0.05;0.033;0.691;0;0;0
16;"02/01/2012 16:00";NA;101.4727106;299.3214331;61.65004515;NA;NA;2.2;31.6;13.3;4.03011917221547;NA;NA;0.05;0.033;0.691;0;0;0
16.5;"02/01/2012 16:30";NA;27.55537371;189.7896399;41.4976293;NA;NA;2.4;31.3;13.8;3.93924896252238;NA;NA;0.05;0.033;0.69;0;0;0
17;"02/01/2012 17:00";NA;-30.60125867;102.7518876;24.41462011;NA;NA;2.1;30.8;14;3.81985434517508;NA;NA;0.05;0.033;0.69;0;0;0
17.5;"02/01/2012 17:30";NA;-71.93177757;34.02347377;10.03621105;NA;NA;2;30;14.3;3.63630675535647;NA;NA;0.05;0.033;0.69;0;0;0
18;"02/01/2012 18:00";NA;-87.06609513;2.529790191;4.873569682;NA;NA;1.8;28.9;15.3;3.3732513293151;NA;NA;0.05;0.033;0.69;0;0;0
18.5;"02/01/2012 18:30";NA;-84.4025728;-1.833243124;4.362840541;NA;NA;2;28.1;15.7;3.20508193203818;NA;NA;0.05;0.033;0.689;0;0;0
19;"02/01/2012 19:00";NA;-80.93907532;-0.694355654;5.310079563;NA;NA;2.1;27.2;16.8;3.00134706770123;NA;NA;0.05;0.033;0.689;0;0;0
19.5;"02/01/2012 19:30";NA;-77.26800678;1.276406027;6.376824173;NA;NA;1.9;26.6;17.7;2.86611633966829;NA;NA;0.05;0.033;0.689;0;0;0
20;"02/01/2012 20:00";NA;-76.30822029;2.246081568;7.146691744;NA;NA;2.1;26;18.6;2.73621202048249;NA;NA;0.05;0.033;0.689;0;0;0
20.5;"02/01/2012 20:30";NA;-77.89163839;2.869227293;8.076319417;NA;NA;2.2;25.6;18.6;2.67217573219842;NA;NA;0.05;0.033;0.688;0;0;0
21;"02/01/2012 21:00";NA;-78.21217953;2.95839286;8.374454408;NA;NA;2.1;25.2;18.6;2.60944976573337;NA;NA;0.05;0.033;0.688;0;0;0
21.5;"02/01/2012 21:30";NA;-76.7858174;2.260266999;7.06366681;NA;NA;2.2;24.7;18.8;2.5266272478264;NA;NA;0.05;0.033;0.688;0;0;0
22;"02/01/2012 22:00";NA;-59.13768583;-40.52096677;-58.27066664;NA;NA;2.3;24.5;18.4;2.50891362551938;NA;NA;0.05;0.033;0.688;0;0;0
22.5;"02/01/2012 22:30";NA;-74.87073902;7.610711971;5.700116003;NA;NA;2.3;24.1;18.6;2.44352587909533;NA;NA;0.05;0.033;0.687;0;0;0
23;"02/01/2012 23:00";NA;-78.20110311;7.610711971;5.530623973;NA;NA;2.4;23.7;19.1;2.37086136612145;NA;NA;0.05;0.033;0.687;0;0;0
23.5;"02/01/2012 23:30";NA;-78.46128781;7.610711971;5.483899142;NA;NA;2.3;23.2;19.3;2.2947875426626;NA;NA;0.05;0.033;0.687;0;0;0
0;"03/01/2012 00:00";NA;-78.35721393;7.610711971;5.307535813;NA;NA;2.2;22.8;19.3;2.2399344054361;NA;NA;0.05;0.033;0.687;0;0;0
0.5;"03/01/2012 00:30";NA;-76.32777331;7.610711971;5.256688204;NA;NA;2.2;22.2;20.2;2.13571426021426;NA;NA;0.05;0.033;0.687;0;0;0
1;"03/01/2012 01:00";NA;-77.05629046;7.610711971;5.101396857;NA;NA;2.3;21.8;20.5;2.07643816541602;NA;NA;0.05;0.033;0.687;0;0;0
1.5;"03/01/2012 01:30";NA;-77.70059955;0.630968911;6.042208529;NA;NA;2.3;21.2;21.4;1.97892987878297;NA;NA;0.05;0.033;0.687;0;0;0
2;"03/01/2012 02:00";NA;-79.24417962;0.173615413;4.207797767;NA;NA;2.5;20.8;21.9;1.91861735066193;NA;NA;0.05;0.033;0.687;0;0;0
2.5;"03/01/2012 02:30";NA;-78.66222296;3.205624659;8.039838764;NA;NA;2.3;20.7;21.7;1.91172885137988;NA;NA;0.05;0.033;0.687;0;0;0
3;"03/01/2012 03:00";NA;-76.38628905;-6.678581097;-10.74518158;NA;NA;2.2;20.5;21.6;1.89072676388118;NA;NA;0.05;0.033;0.687;0;0;0
3.5;"03/01/2012 03:30";NA;-84.08203167;1.82963784;6.584386508;NA;NA;2.4;20.3;21.4;1.87229863910044;NA;NA;0.05;0.032;0.687;0;0;0
4;"03/01/2012 04:00";NA;-84.02049512;0.508366256;5.614504322;NA;NA;2.4;20;21.7;1.83087423513619;NA;NA;0.05;0.032;0.687;0;0;0
4.5;"03/01/2012 04:30";NA;-82.46463069;-0.26473974;5.165414905;NA;NA;2;19.6;22;1.77918450292631;NA;NA;0.05;0.032;0.687;0;0;0
5;"03/01/2012 05:00";NA;-76.55344804;-1.013527854;3.938910196;NA;NA;1.9;19;23.4;1.68320328609631;NA;NA;0.05;0.032;0.687;0;0;0
5.5;"03/01/2012 05:30";NA;-58.63448676;24.67147499;8.847287698;NA;NA;1.6;18;25.8;1.53147998837408;NA;NA;0.05;0.032;0.687;0;0;0
6;"03/01/2012 06:00";NA;-58.49476664;-8.36056793;-13.56299753;NA;NA;1.6;17.7;26.3;1.49270227395564;NA;NA;0.05;0.032;0.687;0;0;0
6.5;"03/01/2012 06:30";NA;-62.36697704;9.392499118;6.485008178;NA;NA;1.8;17.5;26.6;1.46799043957656;NA;NA;0.05;0.032;0.687;0;0;0
7;"03/01/2012 07:00";NA;-34.85370983;55.13950124;17.54619373;NA;NA;2.2;17;28.2;1.39128967464298;NA;NA;0.05;0.032;0.687;0;0;0
7.5;"03/01/2012 07:30";NA;13.76016495;140.140631;39.00688127;NA;NA;2;17.6;27.8;1.45313080377694;NA;NA;0.05;0.032;0.687;0;0;0
8;"03/01/2012 08:00";NA;84.53638243;244.0995762;56.54275374;NA;NA;2.2;19.5;24.1;1.72056199664416;NA;NA;0.05;0.032;0.687;0;0;0
8.5;"03/01/2012 08:30";NA;158.3159509;351.7062037;74.36795552;NA;NA;2.6;21.3;20.6;2.01136475510759;NA;NA;0.05;0.032;0.687;0;0;0
9;"03/01/2012 09:00";NA;227.8155146;455.1585264;92.39442987;NA;NA;3.2;22.8;18.9;2.25103693037011;NA;NA;0.05;0.033;0.687;0;0;0
9.5;"03/01/2012 09:30";NA;291.9237417;550.5048885;109.6283935;NA;NA;2.8;23.9;17.5;2.44699471653583;NA;NA;0.05;0.033;0.687;0;0;0
10;"03/01/2012 10:00";NA;341.61221;629.4366802;123.2142918;NA;NA;3.3;24.6;16;2.59818831679894;NA;NA;0.05;0.033;0.687;0;0;0
10.5;"03/01/2012 10:30";NA;379.6362874;691.0419811;134.1584877;NA;NA;3;25.7;15.4;2.79373423229539;NA;NA;0.05;0.033;0.687;0;0;0
11;"03/01/2012 11:00";NA;406.9144299;738.2592018;142.8383672;NA;NA;2.8;26.6;14.7;2.97059202641197;NA;NA;0.05;0.033;0.687;0;0;0
11.5;"03/01/2012 11:30";NA;420.3238871;766.630064;148.7507489;NA;NA;2.3;27.8;13.8;3.22054831893271;NA;NA;0.05;0.033;0.687;0;0;0
12;"03/01/2012 12:00";NA;414.5376144;764.6035739;148.8765442;NA;NA;2.5;28.3;13.4;3.33103554848848;NA;NA;0.05;0.033;0.688;0;0;0
12.5;"03/01/2012 12:30";NA;397.4543333;744.3386723;145.983251;NA;NA;2.4;29.1;13.1;3.50110056381221;NA;NA;0.05;0.033;0.688;0;0;0
13;"03/01/2012 13:00";NA;391.5762151;737.2459567;143.5931393;NA;NA;2.5;29.7;12.8;3.63676075547845;NA;NA;0.05;0.033;0.688;0;0;0
13.5;"03/01/2012 13:30";NA;363.287771;694.1830408;133.5295109;NA;NA;2.3;30.2;12.4;3.75977714521575;NA;NA;0.05;0.033;0.688;0;0;0
14;"03/01/2012 14:00";NA;337.8465405;657.6048934;126.484971;NA;NA;2;30.9;12.2;3.9220950672279;NA;NA;0.05;0.033;0.688;0;0;0
14.5;"03/01/2012 14:30";NA;299.7306175;599.8499239;115.6665705;NA;NA;2.4;31;12.1;3.94898858873323;NA;NA;0.05;0.033;0.688;0;0;0
15;"03/01/2012 15:00";NA;243.245575;516.6625028;101.3259001;NA;NA;2.1;31.2;12;3.99871963624796;NA;NA;0.05;0.033;0.688;0;0;0
15.5;"03/01/2012 15:30";NA;164.3961295;398.7207755;80.12938277;NA;NA;3;31.1;12;3.97604449739526;NA;NA;0.05;0.033;0.688;0;0;0
16;"03/01/2012 16:00";NA;111.5298036;321.1062023;66.49316631;NA;NA;2.2;31.1;12.3;3.96248980024505;NA;NA;0.05;0.033;0.688;0;0;0
16.5;"03/01/2012 16:30";NA;40.07392865;214.8167934;46.86909095;NA;NA;2.1;30.9;12.6;3.90422675257082;NA;NA;0.05;0.033;0.688;0;0;0
