"heure";"DateUTC";"LE";"Rnet";"Swin";"Swout";"Lwin";"Lwout";"Ws";"Tair";"RH";"VPD";"Tsoil1";"Tsoil2";"Hsoil1";"Hsoil2";"LAI";"P";"PA24Hv";"PA24H"
0;"01/01/2011 00:00";NA;-70.61;-0.018;0.012;NA;NA;0.906;19.66;25.39;1.70820943803996;26.06;27.67;0.054;0.033;0.735;0;0;0
0.5;"01/01/2011 00:30";NA;-71.90073893;-0.0055;0.0075;NA;NA;2.418;19.595;24.42;1.72344897545427;25.91;27.655;0.054;0.033;0.734;0;0;0
1;"01/01/2011 01:00";NA;-69.56320433;-0.01;0.0045;NA;NA;2.5425;19.18;25.32;1.65953208261345;25.79;27.64;0.054;0.033;0.734;0;0;0
1.5;"01/01/2011 01:30";NA;-69.06628808;-0.0085;0.0055;NA;NA;2.3615;18.845;26.345;1.6029053709453;25.67;27.615;0.0535;0.032;0.733;0;0;0
2;"01/01/2011 02:00";NA;-67.33215178;-0.0055;0.0055;NA;NA;2.1435;18.455;27.305;1.5438834354533;25.545;27.585;0.054;0.032;0.733;0;0;0
2.5;"01/01/2011 02:30";NA;-65.18729899;-0.017;0.0025;NA;NA;2.2705;17.99;28.69;1.47090551925307;25.43;27.565;0.0535;0.032;0.732;0;0;0
3;"01/01/2011 03:00";NA;-64.78672365;-0.0125;0.0035;NA;NA;2.3085;17.48;30;1.39822441193796;25.31;27.54;0.053;0.032;0.732;0;0;0
3.5;"01/01/2011 03:30";NA;-63.71176197;-0.0125;0.0065;NA;NA;2.3345;17.065;31.1;1.34060495262675;25.19;27.505;0.053;0.032;0.731;0;0;0
4;"01/01/2011 04:00";NA;-63.07286965;-0.0105;0.003;NA;NA;2.399;16.955;31.195;1.32945733049592;25.06;27.47;0.053;0.032;0.731;0;0;0
4.5;"01/01/2011 04:30";NA;-62.48468306;-0.0095;0.007;NA;NA;2.361;16.925;31.16;1.32760601849292;24.925;27.42;0.053;0.032;0.73;0;0;0
5;"01/01/2011 05:00";NA;-61.14605154;-0.0045;0.0015;NA;NA;2.0025;16.635;31.81;1.2910819224313;24.795;27.37;0.053;0.032;0.73;0;0;0
5.5;"01/01/2011 05:30";NA;-58.98598702;-0.004;0.0025;NA;NA;2.043;16.2;33.035;1.23325766158428;24.69;27.33;0.053;0.032;0.729;0;0;0
6;"01/01/2011 06:00";NA;-57.65242607;0.07;0.018;NA;NA;1.8905;16.08;33.35;1.2180945440789;24.595;27.3;0.053;0.032;0.729;0;0;0
6.5;"01/01/2011 06:30";NA;-52.16606503;6.8325;1.2735;NA;NA;1.9895;16.095;33.45;1.21743200401054;24.48;27.255;0.053;0.032;0.728;0;0;0
7;"01/01/2011 07:00";NA;-34.32271522;38.99;7.618;NA;NA;2.0405;16.22;33.75;1.22164693500132;24.355;27.19;0.053;0.032;0.728;0;0;0
7.5;"01/01/2011 07:30";NA;-2.217869056;97.8;19.82;NA;NA;2.1535;16.87;33.105;1.28560357697394;24.185;27.075;0.053;0.032;0.727;0;0;0
8;"01/01/2011 08:00";NA;44.97092056;185.35;36.89;NA;NA;2.1815;18.08;30.94;1.43257663791488;24;26.925;0.0535;0.0325;0.727;0;0;0
8.5;"01/01/2011 08:30";NA;105.7214673;271.6;56.005;NA;NA;3.248;19.38;28.065;1.6185593251714;23.835;26.755;0.054;0.033;0.726;0;0;0
9;"01/01/2011 09:00";65.1292;163.0189532;377.35;75.54;NA;NA;3.345;20.51;26.725;1.76822010645304;23.805;26.625;0.054;0.033;0.726;0;0;0
9.5;"01/01/2011 09:30";NA;256.5203373;486.8;95.3;NA;NA;3.458;21.72;24.825;1.95390619595906;23.86;26.52;0.053;0.033;0.725;0;0;0
10;"01/01/2011 10:00";NA;308.2908975;584.65;112.6;NA;NA;2.91;22.68;23.41;2.11045149769501;24.02;26.425;0.0535;0.033;0.725;0;0;0
10.5;"01/01/2011 10:30";NA;367.616613;663.1;127.95;NA;NA;2.639;23.54;22.44;2.251191900068;24.28;26.35;0.0535;0.033;0.724;0;0;0
11;"01/01/2011 11:00";NA;392.2596025;708.85;136.3;NA;NA;2.4245;24.51;21.38;2.41873483191635;24.615;26.28;0.053;0.033;0.724;0;0;0
11.5;"01/01/2011 11:30";NA;435.61301;758.05;144.85;NA;NA;1.7975;25.62;19.93;2.63163357719128;25.05;26.255;0.053;0.033;0.724;0;0;0
12;"01/01/2011 12:00";NA;440.277938;780.6;147.45;NA;NA;1.898;26.405;18.11;2.81927678084291;25.455;26.18;0.054;0.033;0.723;0;0;0
12.5;"01/01/2011 12:30";NA;417.4096494;739.75;137.45;NA;NA;1.3025;27.42;15.855;3.0747756453506;25.925;26.16;0.054;0.033;0.723;0;0;0
13;"01/01/2011 13:00";NA;440.277938;778.8;142.1;NA;NA;1.3575;28.15;14.795;3.24892592054207;26.36;26.13;0.054;0.033;0.722;0;0;0
13.5;"01/01/2011 13:30";NA;380.4451652;677.15;120.8;NA;NA;1.6285;28.64;14.15;3.36797553007392;26.82;26.15;0.0535;0.033;0.722;0;0;0
14;"01/01/2011 14:00";NA;359.9093406;641.1;112.45;NA;NA;1.423;29.2;13.445;3.50738874454042;27.305;26.255;0.053;0.033;0.721;0;0;0
14.5;"01/01/2011 14:30";NA;317.5700479;587.9;102.75;NA;NA;1.0095;29.7;12.115;3.6653293462755;27.645;26.31;0.0535;0.033;0.721;0;0;0
15;"01/01/2011 15:00";NA;247.2918926;478.4;86.85;NA;NA;1.3545;29.99;12.505;3.71034091472515;27.86;26.355;0.054;0.033;0.72;0;0;0
15.5;"01/01/2011 15:30";NA;142.9394803;274.95;66.855;NA;NA;1.1545;30.18;12.495;3.75139997263517;28.14;26.54;0.054;0.033;0.72;0;0;0
16;"01/01/2011 16:00";77.4553;14.80709011;169.75;48.445;NA;NA;1.251;30.11;12.53;3.73488993130218;28.35;26.71;0.0535;0.033;0.719;0;0;0
16.5;"01/01/2011 16:30";NA;-17.86211093;111.45;27.985;NA;NA;1.293;29.7;13.305;3.61569923963537;28.545;26.915;0.054;0.033;0.719;0;0;0
17;"01/01/2011 17:00";NA;-25.49991651;88.29;18.93;NA;NA;1.3125;29.075;14.345;3.44596213242121;28.68;27.13;0.054;0.033;0.718;0;0;0
17.5;"01/01/2011 17:30";NA;-52.36381742;40.91;8.141;NA;NA;1.462;28.385;14.96;3.28721791994587;28.67;27.27;0.054;0.033;0.718;0;0;0
18;"01/01/2011 18:00";NA;-69.79645073;3.4085;0.5925;NA;NA;1.807;27.38;16.54;3.04261793798345;28.69;27.46;0.054;0.033;0.717;0;0;0
18.5;"01/01/2011 18:30";NA;-68.40711346;-0.0225;-0.038;NA;NA;1.9775;26.385;18.485;2.8030604137447;28.62;27.62;0.054;0.033;0.717;0;0;0
19;"01/01/2011 19:00";NA;-64.50277151;-0.0315;-0.043;NA;NA;1.937;25.655;19.465;2.65241380473385;28.445;27.705;0.054;0.033;0.716;0;0;0
19.5;"01/01/2011 19:30";NA;-59.36628007;-0.029;-0.048;NA;NA;1.9165;25.13;20.325;2.54353701220068;28.21;27.745;0.054;0.033;0.716;0;0;0
20;"01/01/2011 20:00";NA;-57.98201338;-0.037;-0.0475;NA;NA;2.152;24.81;20.69;2.48407095786387;27.97;27.75;0.054;0.033;0.715;0;0;0
20.5;"01/01/2011 20:30";NA;-59.33585663;-0.0265;-0.0245;NA;NA;2.2735;24.33;21.685;2.38354365071061;27.725;27.745;0.054;0.033;0.715;0;0;0
21;"01/01/2011 21:00";NA;-58.53470594;-0.0185;-0.0045;NA;NA;2.441;23.73;23.035;2.2596159866527;27.475;27.72;0.054;0.033;0.714;0;0;0
21.5;"01/01/2011 21:30";NA;-60.69477045;-0.0105;-5e-04;NA;NA;2.4335;23.625;23;2.24640603818285;27.225;27.66;0.054;0.033;0.714;0;0;0
22;"01/01/2011 22:00";NA;-62.62158856;-0.014;-0.0015;NA;NA;2.3715;23.285;23.535;2.18554756436988;27.005;27.625;0.054;0.033;0.713;0;0;0
22.5;"01/01/2011 22:30";NA;-61.27281588;-0.017;0.0015;NA;NA;2.004;22.74;24.48;2.08855002362498;26.845;27.62;0.054;0.033;0.713;0;0;0
23;"01/01/2011 23:00";NA;-58.51949422;-0.0185;-0.008;NA;NA;1.97;22.36;24.94;2.02850010614272;26.725;27.635;0.054;0.033;0.712;0;0;0
23.5;"01/01/2011 23:30";NA;-56.84113423;-0.0185;-0.0035;NA;NA;2.04;21.865;25.82;1.94518780967579;26.6;27.64;0.054;0.033;0.712;0;0;0
0;"02/01/2011 00:00";NA;-54.08781257;-0.0235;0.0015;NA;NA;1.9475;21.365;26.615;1.86641035738321;26.45;27.63;0.054;0.033;0.712;0;0;0
0.5;"02/01/2011 00:30";NA;-57.8806019;-0.02;-0.005;NA;NA;1.871;20.915;27.405;1.79603669498326;26.3;27.61;0.054;0.033;0.712;0;0;0
1;"02/01/2011 01:00";NA;-54.42754102;-0.022;-0.017;NA;NA;1.812;20.4;28.28;1.71899242637143;26.185;27.615;0.054;0.033;0.711;0;0;0
1.5;"02/01/2011 01:30";NA;-54.13851831;-0.0195;-0.0175;NA;NA;2.018;20.165;28.325;1.6931579705198;26.08;27.625;0.054;0.033;0.711;0;0;0
2;"02/01/2011 02:00";NA;-53.48948484;-0.0225;-0.016;NA;NA;1.9125;20.08;28.05;1.69074302885026;25.94;27.6;0.054;0.033;0.711;0;0;0
2.5;"02/01/2011 02:30";NA;-51.42069066;-0.019;-0.013;NA;NA;1.5525;19.595;29.165;1.6152488512345;25.795;27.57;0.054;0.033;0.711;0;0;0
3;"02/01/2011 03:00";NA;-52.60213439;-0.014;-0.0155;NA;NA;1.588;18.795;31.51;1.48585420955237;25.655;27.535;0.054;0.033;0.711;0;0;0
3.5;"02/01/2011 03:30";NA;-55.37066778;-0.021;-0.016;NA;NA;1.6795;17.85;34.785;1.33338778798694;25.53;27.505;0.053;0.033;0.71;0;0;0
4;"02/01/2011 04:00";NA;-53.09398007;-0.011;-0.0135;NA;NA;1.7885;17.725;34.755;1.32354025648918;25.41;27.485;0.053;0.033;0.71;0;0;0
4.5;"02/01/2011 04:30";NA;-52.59199324;-0.008;-0.007;NA;NA;1.464;17.83;33.98;1.34814830805449;25.285;27.45;0.053;0.033;0.71;0;0;0
5;"02/01/2011 05:00";NA;-50.66010456;-0.005;-0.0075;NA;NA;0.868;17.96;33.235;1.37456039443486;25.155;27.415;0.053;0.033;0.71;0;0;0
5.5;"02/01/2011 05:30";NA;-52.1914179;5e-04;-0.0055;NA;NA;0.8805;17.89;33.195;1.36934012150442;25.03;27.37;0.053;0.033;0.71;0;0;0
6;"02/01/2011 06:00";NA;-49.87416559;0.0575;0;NA;NA;1.2545;17.625;33.67;1.33709498221682;24.91;27.33;0.053;0.033;0.709;0;0;0
6.5;"02/01/2011 06:30";NA;-46.50730448;5.396;1.023;NA;NA;1.243;17.125;35.19;1.265825127098;24.795;27.3;0.053;0.033;0.709;0;0;0
7;"02/01/2011 07:00";NA;-30.46400843;34.47;6.767;NA;NA;1.362;17.6;33.1;1.34646053701769;24.66;27.24;0.053;0.033;0.709;0;0;0
7.5;"02/01/2011 07:30";NA;-1.906535814;88.015;18.08;NA;NA;0.9915;17.97;32.575;1.38902183322404;24.465;27.12;0.054;0.033;0.709;0;0;0
8;"02/01/2011 08:00";NA;40.99559057;172.6;34.735;NA;NA;1.053;18.925;33.255;1.45980173121083;24.21;26.92;0.054;0.033;0.708;0;0;0
8.5;"02/01/2011 08:30";NA;104.3524124;258.85;53.645;NA;NA;1.849;21.04;27.94;1.79654405839855;23.97;26.695;0.054;0.033;0.708;0;0;0
