"heure";"DateUTC";"LE";"Rnet";"Swin";"Swout";"Lwin";"Lwout";"Ws";"Tair";"RH";"VPD";"Tsoil1";"Tsoil2";"Hsoil1";"Hsoil2";"LAI";"P";"PA24Hv";"PA24H"
0;"01/01/2008 00:00";NA;-63.665;-0.003;0.006;NA;NA;NA;20.335;26.77;1.74815619616121;27.165;28.66;NA;NA;0.685;0;0;0
0.5;"01/01/2008 00:30";NA;-65.245;-0.005;0;NA;NA;NA;17.725;33.6;1.34697023574039;26.81;28.615;0.05;0.042;0.685;0;0;0
1;"01/01/2008 01:00";NA;-64.305;-0.0015;0.0015;NA;NA;NA;16.855;32.76;1.29100475070904;26.605;28.59;0.05;0.042;0.685;0;0;0
1.5;"01/01/2008 01:30";NA;-63.275;-0.005;0;NA;NA;NA;16.46;32.255;1.26846007253546;26.385;28.56;0.05;0.042;0.685;0;0;0
2;"01/01/2008 02:00";NA;-60.165;-0.019;5e-04;NA;NA;NA;15.78;35.075;1.16403555278896;26.17;28.52;0.05;0.042;0.685;0;0;0
2.5;"01/01/2008 02:30";NA;-63.095;-0.012;0.0075;NA;NA;NA;15.745;34.48;1.17207514859214;25.95;28.475;0.05;0.042;0.685;0;0;0
3;"01/01/2008 03:00";NA;-61.85;0.001;0.004;NA;NA;NA;15.29;32.2;1.17798945082921;25.725;28.415;0.049;0.042;0.685;0;0;0
3.5;"01/01/2008 03:30";NA;-60.155;-0.0135;0.0045;NA;NA;NA;15.035;32.83;1.14806475538143;25.52;28.365;0.049;0.042;0.685;0;0;0
4;"01/01/2008 04:00";NA;-61.185;-0.0135;0.0135;NA;NA;NA;15.045;32.495;1.15453337278561;25.32;28.305;0.049;0.042;0.685;0;0;0
4.5;"01/01/2008 04:30";NA;-58.43;-0.0075;0.027;NA;NA;NA;16.835;27.555;1.38917653421122;25.095;28.225;0.049;0.042;0.685;0;0;0
5;"01/01/2008 05:00";NA;-61.75;-5e-04;0.004;NA;NA;NA;15.785;28.995;1.27345075789559;24.88;28.14;0.049;0.042;0.685;0;0;0
5.5;"01/01/2008 05:30";NA;-61.86;0.0065;-0.005;NA;NA;NA;14.905;30.365;1.18027424051142;24.73;28.09;0.049;0.042;0.685;0;0;0
6;"01/01/2008 06:00";NA;-61.04;0.119;0.034;NA;NA;NA;13.535;34.61;1.01419860918421;24.59;28.045;0.049;0.042;0.685;0;0;0
6.5;"01/01/2008 06:30";NA;-57.63;6.9565;1.3665;NA;NA;NA;13.375;33.76;1.01672399041176;24.435;27.995;0.049;0.042;0.685;0;0;0
7;"01/01/2008 07:00";NA;-32.935;46.155;8.937;NA;NA;NA;13.88;33.765;1.05061857933261;24.245;27.925;0.049;0.042;0.685;0;0;0
7.5;"01/01/2008 07:30";NA;-0.28;140.35;27.22;NA;NA;NA;16.095;34.54;1.19749209590579;24.005;27.8;0.05;0.042;0.685;0;0;0
8;"01/01/2008 08:00";NA;62.865;256.7;51.46;NA;NA;NA;19.89;23.515;1.77629261811178;23.735;27.585;0.05;0.042;0.685;0;0;0
8.5;"01/01/2008 08:30";NA;133.65;326.75;74.535;NA;NA;NA;22.55;17.215;2.26323683400818;23.59;27.325;0.05;0.042;0.685;0;0;0
9;"01/01/2008 09:00";NA;126.35;387.3;97.25;NA;NA;NA;24.535;14.055;2.64804230235294;23.725;27.14;0.05;0.042;0.685;0;0;0
9.5;"01/01/2008 09:30";NA;206.05;483;118.5;NA;NA;NA;25.66;12.94;2.86816398276537;24.085;27.03;0.05;0.042;0.685;0;0;0
10;"01/01/2008 10:00";NA;296;656.35;137.1;NA;NA;NA;26.63;12.445;3.05450984932296;24.65;26.97;0.05;0.042;0.685;0;0;0
10.5;"01/01/2008 10:30";NA;362.15;725.65;153.4;NA;NA;NA;27.96;11.79;3.32651880314584;25.215;26.905;0.05;0.042;0.685;0;0;0
11;"01/01/2008 11:00";NA;397.9;775.85;165.45;NA;NA;NA;28.89;10.835;3.54902067861943;25.905;26.86;0.05;0.042;0.685;0;0;0
11.5;"01/01/2008 11:30";NA;401.55;801.9;171.25;NA;NA;NA;29.65;10.125;3.73756374360616;26.765;26.875;0.05;0.042;0.685;0;0;0
12;"01/01/2008 12:00";NA;413.7;816.5;173.85;NA;NA;NA;30.74;9.98;3.98475225347975;27.62;26.88;0.05;0.042;0.685;0;0;0
12.5;"01/01/2008 12:30";NA;412.6;810;171.3;NA;NA;NA;31.53;9.76;4.1780574469951;28.425;26.88;0.05;0.042;0.685;0;0;0
13;"01/01/2008 13:00";NA;383.2;778.8;162.6;NA;NA;NA;31.975;9.58;4.29319795867707;29.2;26.915;0.05;0.042;0.685;0;0;0
13.5;"01/01/2008 13:30";NA;356.95;729.25;149.8;NA;NA;NA;32.585;9.6;4.44246601533912;29.88;26.985;0.05;0.042;0.685;0;0;0
14;"01/01/2008 14:00";NA;336.05;681.95;137.5;NA;NA;NA;33.125;9.485;4.58505900572494;30.375;27.06;0.05;0.042;0.685;0;0;0
14.5;"01/01/2008 14:30";NA;271.75;590.7;118.25;NA;NA;NA;33.245;9.535;4.61343278230635;30.86;27.18;0.05;0.042;0.685;0;0;0
15;"01/01/2008 15:00";NA;222.75;511.7;101.9;NA;NA;NA;33.26;9.82;4.60276246970419;31.165;27.345;0.05;0.042;0.685;0;0;0
15.5;"01/01/2008 15:30";NA;150.7;406.5;82.005;NA;NA;NA;33.285;9.99;4.60051949025222;31.135;27.48;0.05;0.042;0.685;0;0;0
16;"01/01/2008 16:00";NA;70.41;268.15;61.42;NA;NA;NA;32.76;10.495;4.44197775583157;31.115;27.63;0.05;0.043;0.685;0;0;0
16.5;"01/01/2008 16:30";NA;-50.365;123.25;34.21;NA;NA;NA;32.125;10.965;4.26340939724667;31.08;27.795;0.05;0.043;0.685;0;0;0
17;"01/01/2008 17:00";NA;-57.1;70.415;16.195;NA;NA;NA;30.79;13.395;3.84453387157273;31;27.975;0.05;0.042;0.685;0;0;0
