"heure";"DateUTC";"LE";"Rnet";"Swin";"Swout";"Lwin";"Lwout";"Ws";"Tair";"RH";"VPD";"Tsoil1";"Tsoil2";"Hsoil1";"Hsoil2";"LAI";"P";"PA24Hv";"PA24H"
0;"01/01/2013 00:00";15.2935;-94.69539188;-4.2403535;4.379787;NA;NA;2.73267;18.49808405;22.61052432;1.64802571540764;26.71;28.395;NA;NA;0.733;0;0;0
0.5;"01/01/2013 00:30";11.8261;-96.0268235;-4.1723005;4.335473;325.34895;325.34895;2.5486;19.30010605;21.79698104;1.75086620055913;26.54;28.365;NA;NA;0.733;0;0;0
1;"01/01/2013 01:00";15.7209;-94.987058;-4.0488675;4.2080905;323.3065;323.3065;2.63035;18.8439798;22.18450089;1.69333966908042;26.385;28.335;NA;NA;0.732;0;0;0
1.5;"01/01/2013 01:30";13.23;-94.065941;-3.9837855;4.1756555;321.5205;321.5205;2.51347;18.20540304;22.969477;1.61055174748743;26.245;28.315;NA;NA;0.732;0;0;0
2;"01/01/2013 02:00";14.6051;-93.701745;-3.7921075;4.1788375;319.27805;319.27805;2.61021;17.64284732;23.49113835;1.54401941872298;26.105;28.29;NA;NA;0.732;0;0;0
2.5;"01/01/2013 02:30";16.0767;-93.282371;-3.6775775;4.1859935;317.8827;317.8827;2.58709;16.95865794;24.41025595;1.46089158356085;25.96;28.26;NA;NA;0.732;0;0;0
3;"01/01/2013 03:00";16.6483;-92.914269;-3.642166;4.192153;317.03685;317.03685;2.51375;16.49239555;24.93191729;1.40847828687542;25.81;28.23;NA;NA;0.731;0;0;0
3.5;"01/01/2013 03:30";13.9089;-91.79531;-3.707653;4.019257;316.5239;316.5239;2.3886;16.24912821;25.2498823;1.38095086215264;25.655;28.19;NA;NA;0.731;0;0;0
4;"01/01/2013 04:00";15.0553;-89.8771295;-3.728643;3.9324365;315.3843;315.3843;2.11729;16.15283489;25.97523997;1.35917827751465;25.515;28.155;NA;NA;0.731;0;0;0
4.5;"01/01/2013 04:30";15.9035;-90.0909705;-3.405354;4.0454665;312.72925;312.72925;2.22795;17.09549582;26.19880912;1.43874473416123;25.385;28.125;NA;NA;0.731;0;0;0
5;"01/01/2013 05:00";17.8926;-90.2212495;-3.191885;4.1763645;311.60725;311.60725;2.37583;17.2475379;26.22861834;1.45206873456586;25.245;28.085;NA;NA;0.73;0;0;0
5.5;"01/01/2013 05:30";22.5096;-90.4845105;-3.026832;3.9866285;311.3972;311.3972;2.76067;17.04481512;26.34288701;1.43133403918161;25.09;28.035;NA;NA;0.73;0;0;0
6;"01/01/2013 06:00";25.2035;-89.968648;-3.446552;3.607846;311.67925;311.67925;2.45054;16.81168392;26.69562944;1.40357715441461;24.94;27.97;NA;NA;0.73;0;0;0
6.5;"01/01/2013 06:30";20.158;-82.3604525;5.104253;4.7341055;309.7522;309.7522;2.3098;16.07681385;26.92416679;1.3352613906911;24.81;27.91;NA;NA;0.73;0;0;0
