"heure";"DateUTC";"LE";"Rnet";"Swin";"Swout";"Lwin";"Lwout";"Ws";"Tair";"RH";"VPD";"Tsoil1";"Tsoil2";"Hsoil1";"Hsoil2";"LAI";"P";"PA24Hv";"PA24H"
0;"01/01/2016 00:00";NA;-82.8;-5.4;2.6;336.1;411;1.37;18.8;31;1.4973861406444;26.8;27.6;0.05;NA;NA;0;0;0
0.5;"01/01/2016 00:30";NA;-81.7;-5.4;2.5;335.4;409.2;1.37;18.3;32.1;1.42810341260952;26.7;27.6;0.05;NA;NA;0;0;0
1;"01/01/2016 01:00";NA;-81.6;-5.1;2.7;332;405.7;1.29;16.9;37;1.2130546695536;26.6;27.6;0.05;NA;NA;0;0;0
1.5;"01/01/2016 01:30";NA;-80.3;-5.1;2.8;331.2;403.6;1.06;15.9;41;1.06595602612932;26.5;27.6;0.05;NA;NA;0;0;0
2;"01/01/2016 02:00";NA;-79;-4.8;2.9;330.5;401.9;1.14;14.9;44.9;0.933613318833053;26.4;27.6;0.05;NA;NA;0;0;0
2.5;"01/01/2016 02:30";NA;-79.2;-4.8;2.5;329.2;401;1.01;16.2;37.2;1.15655314190237;26.2;27.6;0.05;NA;NA;0;0;0
3;"01/01/2016 03:00";NA;-79.4;-4.8;2.5;329;401.1;1.16;16.9;34.4;1.26311724321771;26.1;27.5;0.05;NA;NA;0;0;0
3.5;"01/01/2016 03:30";NA;-79.7;-4.8;2.6;328.5;400.8;1.52;17;33.6;1.28665228964198;25.9;27.4;0.05;NA;NA;0;0;0
4;"01/01/2016 04:00";NA;-79;-4.9;2.6;328;399.6;1.41;16.7;34.1;1.25288770854792;25.8;27.4;0.05;NA;NA;0;0;0
4.5;"01/01/2016 04:30";NA;-78.5;-5.1;2.4;326.5;397.6;1.29;16.4;35;1.21242297327056;25.7;27.3;0.05;NA;NA;0;0;0
5;"01/01/2016 05:00";NA;-76.2;-4.8;2.3;325.4;394.4;1.29;15.6;37.9;1.10062777990969;25.6;27.3;0.05;NA;NA;0;0;0
5.5;"01/01/2016 05:30";NA;-74.5;-4.8;2.2;324.3;391.8;1.18;15.1;39.7;1.03496291384427;25.5;27.3;0.05;NA;NA;0;0;0
6;"01/01/2016 06:00";NA;-72.1;-4.3;2.4;324.4;389.9;1.38;14.3;43.3;0.924206564462105;25.4;27.3;0.05;NA;NA;0;0;0
6.5;"01/01/2016 06:30";NA;-62.2;6.2;4.2;323.7;388;1.26;13.7;47.6;0.821499621464411;25.3;27.3;0.05;NA;NA;0;0;0
7;"01/01/2016 07:00";NA;-21.4;57.3;13.6;324.5;389.6;1.22;13.4;50.9;0.754870172539734;25.2;27.2;0.05;NA;NA;0;0;0
7.5;"01/01/2016 07:30";NA;46.1;147;30.1;327;397.7;1.13;15.5;42.2;1.01787123511341;25.1;27.1;0.05;NA;NA;0;0;0
8;"01/01/2016 08:00";NA;129.1;255.7;49.2;332.7;410.1;1.01;17.8;35.3;1.31870008885252;24.9;26.8;0.05;NA;NA;0;0;0
8.5;"01/01/2016 08:30";NA;217.4;368.8;67.9;338.3;421.8;1.04;19.4;31.6;1.54093640543596;24.6;26.3;0.05;NA;NA;0;0;0
9;"01/01/2016 09:00";NA;298.8;474.2;86.8;344;432.6;1.59;21;28.8;1.77074784285771;24.3;25.9;0.05;NA;NA;0;0;0
9.5;"01/01/2016 09:30";NA;366.9;564.3;103.2;350.2;444.4;1.82;22.5;26.7;1.9978557156418;24.3;25.8;0.05;NA;NA;0;0;0
10;"01/01/2016 10:00";NA;424.9;642.9;117.8;356.1;456.3;2.44;24;24.8;2.2439059428285;24.4;25.7;0.05;NA;NA;0;0;0
10.5;"01/01/2016 10:30";NA;469.9;705.6;130.9;359.8;464.7;2.28;24.8;23.8;2.38523923711653;24.6;25.7;0.05;NA;NA;0;0;0
