"heure";"DateUTC";"LE";"Rnet";"Swin";"Swout";"Lwin";"Lwout";"Ws";"Tair";"RH";"VPD";"Tsoil1";"Tsoil2";"Hsoil1";"Hsoil2";"LAI";"P";"PA24Hv";"PA24H"
0;"01/01/2010 00:00";-13.8182;NA;NA;NA;NA;NA;0.38713;NA;NA;NA;NA;NA;0.04;0.056;0.699;0;0;0
0.5;"01/01/2010 00:30";-2.38099;-46.3065;-1.0485;3.358;348.95;390.85;0.1715;17.895;41.01;1.20953213328657;27.4;28.39;0.04;0.056;0.699;0;0;0
1;"01/01/2010 01:00";-13.629;-46.9455;-1.433;3.1125;346.4;388.8;0.2735;17.3;44.95;1.08716971043809;27.175;28.38;0.04;0.056;0.698;0;0;0
1.5;"01/01/2010 01:30";NA;-46.645;0.372;4.667;346.05;388.4;0.34;17.975;42.015;1.19492416127081;26.945;28.365;0.04;0.056;0.698;0;0;0
2;"01/01/2010 02:00";NA;-46.0325;-0.1925;4.09;345.65;387.4;0.2015;18.09;38.275;1.28122462331291;26.725;28.34;0.04;0.056;0.698;0;0;0
2.5;"01/01/2010 02:30";3.00786;-48.0665;1.6055;5.822;345.3;389.15;0.5585;19.17;34.29;1.45929212138961;26.51;28.31;0.04;0.056;0.698;0;0;0
3;"01/01/2010 03:00";5.07088;-49.987;1.051;5.488;346.2;391.75;0.865;20.75;29.44;1.72806376650424;26.29;28.265;0.04;0.056;0.698;0;0;0
3.5;"01/01/2010 03:30";1.99321;-47.9865;-1.1115;3.525;345.5;388.85;0.727;20.73;27.975;1.76177262419973;26.085;28.22;0.04;0.056;0.697;0;0;0
4;"01/01/2010 04:00";1.63153;-47.794;-1.2635;3.3305;343.45;386.65;0.705;20.3;28.245;1.70924667746377;25.92;28.195;0.04;0.056;0.697;0;0;0
4.5;"01/01/2010 04:30";6.61302;-49.5885;-1.345;3.3935;342.1;386.95;0.855;19.955;28.71;1.66232283825246;25.77;28.17;0.04;0.056;0.697;0;0;0
5;"01/01/2010 05:00";1.1377;-47.476;-1.712;2.864;340.75;383.65;0.7765;19.51;29.48;1.59959755552977;25.61;28.13;0.04;0.056;0.697;0;0;0
5.5;"01/01/2010 05:30";0.64412;-46.6805;-1.426;3.2545;340.4;382.4;0.5935;19.275;29.915;1.56666381194199;25.465;28.1;0.04;0.056;0.697;0;0;0
