"heure";"DateUTC";"LE";"Rnet";"Swin";"Swout";"Lwin";"Lwout";"Ws";"Tair";"RH";"VPD";"Tsoil1";"Tsoil2";"Hsoil1";"Hsoil2";"LAI";"P";"PA24Hv";"PA24H"
0;"01/01/2008 00:00";5.65029;-89.7935;-1.4995;5.194;321.3;404.4;1.045;21.83;22.44;2.02948075331221;27.13;28.02;0.037;0.045;0.64;0;0;0
0.5;"01/01/2008 00:30";15.4262;-91.318;-1.9855;4.2825;319.25;404.3;1.4565;21.45;21.965;1.99503086895647;26.935;28.015;0.037;0.045;0.64;0;0;0
1;"01/01/2008 01:00";6.99101;-91.2975;-2.345;4.1025;317.15;402;1.2835;21.005;21.315;1.95750128508058;26.76;28.01;0.037;0.045;0.64;0;0;0
1.5;"01/01/2008 01:30";7.09761;-90.0465;-2.783;3.7635;315.15;398.65;1.1765;20.485;21.14;1.90006194721323;26.605;28.015;0.037;0.045;0.64;0;0;0
2;"01/01/2008 02:00";5.83351;-88.887;-2.5735;3.7635;314.2;396.75;1.282;19.91;21.87;1.81674579472526;26.465;28.02;0.037;0.045;0.64;0;0;0
2.5;"01/01/2008 02:30";6.7419;-88.1495;-2.112;4.2375;314.9;396.7;1.1965;19.98;21.13;1.8419204469124;26.32;28.005;0.037;0.045;0.64;0;0;0
3;"01/01/2008 03:00";7.9821;-86.9765;-2.5375;3.589;314.3;395.15;1.33;19.665;21.19;1.80492923000497;26.175;27.995;0.037;0.045;0.64;0;0;0
3.5;"01/01/2008 03:30";10.1869;-88.0825;-2.345;3.6875;313.3;395.35;1.478;19.355;21.255;1.76903303753399;26.035;27.975;0.037;0.045;0.64;0;0;0
4;"01/01/2008 04:00";13.5432;-89.4925;-1.9625;3.88;312.35;396;1.7265;19.23;20.935;1.76245552638895;25.895;27.955;0.037;0.045;0.64;0;0;0
4.5;"01/01/2008 04:30";8.11525;-89.7165;-2.6495;3.467;312.05;395.65;1.462;19.305;20.485;1.78078212938688;25.755;27.92;0.037;0.045;0.64;0;0;0
5;"01/01/2008 05:00";4.78458;-85.5555;-2.8565;3.249;309.75;389.2;1.2465;18.675;21.055;1.69986964080686;25.64;27.905;0.037;0.045;0.64;0;0;0
5.5;"01/01/2008 05:30";6.23211;-89.658;-2.682;3.376;308.15;391.75;1.615;18.425;21.49;1.66424995118943;25.54;27.89;0.037;0.045;0.64;0;0;0
6;"01/01/2008 06:00";5.39469;-86.8645;-2.9785;2.986;305.75;386.65;1.2815;17.66;23.075;1.55409724742265;25.42;27.865;0.037;0.045;0.64;0;0;0
6.5;"01/01/2008 06:30";8.32339;-83.6875;6.3925;5.03;304.75;389.8;1.598;17.665;22.995;1.55620393033409;25.31;27.84;0.037;0.045;0.64;0;0;0
7;"01/01/2008 07:00";12.6375;-47.985;59.3;17.535;304.9;394.65;1.385;17.705;23.37;1.55253494956688;25.165;27.795;0.037;0.045;0.64;0;0;0
7.5;"01/01/2008 07:30";13.6847;13.305;152.9;35.045;308.25;412.8;1.935;19.48;20.605;1.79755374509307;24.995;27.72;0.037;0.045;0.64;0;0;0
8;"01/01/2008 08:00";17.2666;93.055;259.25;49.645;312.85;429.4;2.6535;21.19;18.13;2.05999558417377;24.82;27.59;0.037;0.045;0.64;0;0;0
8.5;"01/01/2008 08:30";28.3367;174.01;365.75;65.09;320.3;446.95;3.052;22.9;15.83;2.35043863622075;24.695;27.44;0.037;0.045;0.64;0;0;0
9;"01/01/2008 09:00";21.5725;251.685;469.3;80.265;325.75;463.1;3.5865;24.305;14.205;2.60729417913694;24.63;27.29;0.037;0.045;0.64;0;0;0
9.5;"01/01/2008 09:30";26.048;326.1;569.6;94.05;330.6;480.05;3.577;25.665;12.89;2.87066174778817;24.655;27.17;0.038;0.045;0.64;0;0;0
10;"01/01/2008 10:00";26.2839;387.85;654.1;105.1;335.25;496.4;3.6665;26.785;11.945;3.10007769866121;24.76;27.055;0.038;0.045;0.64;0;0;0
10.5;"01/01/2008 10:30";30.5424;435.65;722;114.05;340.6;512.9;3.405;27.87;10.925;3.34157096733288;24.93;26.955;0.038;0.045;0.64;0;0;0
11;"01/01/2008 11:00";25.292;463.3;764.25;119.15;344.75;526.55;3.185;28.825;10.05;3.56682820967124;25.18;26.88;0.038;0.045;0.64;0;0;0
11.5;"01/01/2008 11:30";24.8379;478;789.15;122.1;349.5;538.55;2.9515;29.66;9.95;3.74699546816088;25.555;26.855;0.038;0.045;0.639;0;0;0
12;"01/01/2008 12:00";30.3905;481.8;797.3;123.75;353.5;545.25;3.165;30.435;9.885;3.92008145008746;25.995;26.84;0.038;0.045;0.639;0;0;0
12.5;"01/01/2008 12:30";20.0957;477.8;795.55;122.05;357.4;553.1;2.268;31.215;9.76;4.10400299519485;26.48;26.82;0.038;0.045;0.639;0;0;0
13;"01/01/2008 13:00";18.261;456.9;768.35;115.55;359.7;555.6;1.785;31.76;9.725;4.23450141406544;26.98;26.815;0.038;0.045;0.639;0;0;0
13.5;"01/01/2008 13:30";18.196;429.2;732.5;109.05;361.9;556.15;1.5315;32.155;9.705;4.33107254817082;27.535;26.865;0.038;0.045;0.639;0;0;0
14;"01/01/2008 14:00";14.3882;382.05;672.7;101;362.65;552.3;1.8565;32.495;9.615;4.41928631516719;28.005;26.87;0.038;0.045;0.639;0;0;0
14.5;"01/01/2008 14:30";19.3916;299.15;568.6;86.75;362.9;545.6;1.643;33.12;9.41;4.58757251210565;28.415;26.905;0.038;0.045;0.639;0;0;0
15;"01/01/2008 15:00";NA;239.935;489.25;75.465;363.4;537.25;1.3735;33.21;9.44;4.6092349594736;28.815;27.015;0.038;0.045;0.639;0;0;0
15.5;"01/01/2008 15:30";15.8266;168.42;396.7;63.33;364.1;529.05;1.3085;33.41;9.43;4.66162894715463;29.115;27.1;0.038;0.045;0.639;0;0;0
16;"01/01/2008 16:00";NA;84.81;286.3;49.24;363.25;515.5;1.7335;33.115;9.615;4.57590868202291;29.375;27.225;0.038;0.045;0.639;0;0;0
