"heure";"DateUTC";"LE";"Rnet";"Swin";"Swout";"Lwin";"Lwout";"Ws";"Tair";"RH";"VPD";"Tsoil1";"Tsoil2";"Hsoil1";"Hsoil2";"LAI";"P";"PA24Hv";"PA24H"
0;"01/01/2016 00:00";27.5573;-72.5;-3.6;3.3;333.4;399;1.6;19.9;29.2;1.6452828007854;29.2;29.3;0.04;0.06;NA;0;0;0
0.5;"01/01/2016 00:30";9.11866;-70.4;-4.1;2.8;330.9;394.3;1.4;19.3;30;1.56720068727275;28.9;29.3;0.043;0.055;NA;0;0;0
1;"01/01/2016 01:00";12.2297;-70;-3.8;3.1;327.5;390.6;1.4;18.4;32;1.43920286833043;28.7;29.4;0.043;0.055;NA;0;0;0
1.5;"01/01/2016 01:30";9.22714;-68.4;-3.5;3.2;326.1;387.8;1.3;18;33;1.38287276578253;28.5;29.4;0.043;0.055;NA;0;0;0
2;"01/01/2016 02:00";12.714;-67.5;-3.4;3.3;325.5;386.4;1.3;17.7;34;1.3367483050349;28.3;29.4;0.043;0.055;NA;0;0;0
2.5;"01/01/2016 02:30";9.22917;-67.8;-3;3.6;324.9;386.1;1.3;17.5;34;1.31999140343397;28.1;29.4;0.043;0.055;NA;0;0;0
3;"01/01/2016 03:00";11.7434;-68.1;-2.9;3.6;324.4;386;1.5;17.5;33;1.33999127318297;27.9;29.3;0.043;0.055;NA;0;0;0
3.5;"01/01/2016 03:30";16.4176;-68.4;-3;3.5;324.3;386.2;1.6;17.5;33;1.33999127318297;27.7;29.3;0.043;0.055;NA;0;0;0
4;"01/01/2016 04:00";11.3202;-67.7;-3.2;3.2;323.4;384.7;1.5;17.1;34;1.28702855361847;27.5;29.3;0.043;0.055;NA;0;0;0
4.5;"01/01/2016 04:30";20.3767;-67.5;-3.2;3.2;323.3;384.5;1.6;16.9;34;1.27081917762758;27.4;29.2;0.043;0.055;NA;0;0;0
5;"01/01/2016 05:00";13.7773;-66.9;-3.1;3.1;322.6;383.3;1.6;16.6;35;1.22794888296699;27.2;29.2;0.043;0.055;NA;0;0;0
5.5;"01/01/2016 05:30";15.1151;-67.5;-2.7;3.2;322.9;384.5;2;16.6;35;1.22794888296699;27;29.2;0.043;0.055;NA;0;0;0
6;"01/01/2016 06:00";14.2554;-66.7;-3.1;2.7;322.5;383.4;1.9;16.4;35;1.21242297327056;26.9;29.1;0.043;0.055;NA;0;0;0
6.5;"01/01/2016 06:30";14.3969;-58.2;7.3;5;321.9;382.3;1.7;16;37;1.1455206087059;26.7;29.1;0.043;0.054;NA;0;0;0
7;"01/01/2016 07:00";11.9687;-24.8;56.3;16.2;322.5;387.4;1.5;15.9;37;1.13822423129063;26.5;29;0.043;0.055;NA;0;0;0
7.5;"01/01/2016 07:30";16.8755;29.9;139.4;35.5;325.6;399.6;2.1;16.9;36;1.23230950557826;26.4;29;0.043;0.055;NA;0;0;0
8;"01/01/2016 08:00";17.5008;102.1;245;58.4;331.1;415.6;2.9;18.4;32;1.43920286833043;26.2;28.8;0.043;0.055;NA;0;0;0
8.5;"01/01/2016 08:30";18.0101;177;354.3;81.2;336.3;432.4;3.2;19.6;31;1.57389398335789;26;28.7;0.043;0.055;NA;0;0;0
9;"01/01/2016 09:00";18.5129;245.7;457.8;104;344.1;452.2;3.7;21.4;27;1.8606025368846;25.8;28.5;0.043;0.055;NA;0;0;0
9.5;"01/01/2016 09:30";14.2258;301.2;547.4;124;350.1;472.4;3.7;22.6;25;2.05663541193858;25.7;28.4;0.043;0.055;NA;0;0;0
10;"01/01/2016 10:00";19.1448;344.1;623.4;141.3;357;495;3.3;24;24;2.26777728264583;25.6;28.2;0.044;0.055;NA;0;0;0
10.5;"01/01/2016 10:30";22.1974;378;683.8;155.2;362;512.5;3.4;25.1;22;2.48562269451992;25.7;28.1;0.044;0.055;NA;0;0;0
11;"01/01/2016 11:00";13.6739;398.3;727.7;167;365.8;528.3;3.5;25.7;22;2.57578333474043;25.9;28.1;0.044;0.055;NA;0;0;0
11.5;"01/01/2016 11:30";11.4367;405.6;755.8;174.8;371.5;546.9;2.7;26.8;21;2.78373847831984;26.1;28;0.044;0.055;NA;0;0;0
12;"01/01/2016 12:00";14.633;397.5;757.1;176.4;377.1;560.3;2.6;27.7;20;2.97152270474907;26.4;27.9;0.044;0.055;NA;0;0;0
12.5;"01/01/2016 12:30";12.6314;390.6;753.1;176.5;380.8;566.8;2.8;28.5;19;3.15201742026002;26.8;27.9;0.044;0.055;NA;0;0;0
13;"01/01/2016 13:00";9.82049;375.8;737.8;171.8;385.1;575.4;2.1;29.4;18;3.36135068639589;27.3;27.9;0.044;0.055;NA;0;0;0
13.5;"01/01/2016 13:30";5.16075;317.9;642.6;146.3;391.4;569.8;1.8;30.2;17;3.5623459252615;27.7;27.9;0.044;0.055;NA;0;0;0
14;"01/01/2016 14:00";15.3997;342.6;676.4;152;391.1;572.8;2;30.4;17;3.60335422925966;28.2;27.9;0.044;0.055;NA;0;0;0
14.5;"01/01/2016 14:30";5.81417;302.2;611.2;135.1;391;564.9;1.7;31;16;3.77377749093961;28.7;27.9;0.044;0.055;NA;0;0;0
15;"01/01/2016 15:00";NA;249;525.2;113.8;391.7;554.2;1.2;31.6;16;3.9046137308662;29.1;27.9;0.044;0.055;NA;0;0;0
15.5;"01/01/2016 15:30";NA;189.1;429.6;92.1;390.9;539.3;1.2;31.5;16;3.88253787854142;29.6;28;0.044;0.055;NA;0;0;0
16;"01/01/2016 16:00";NA;116;316.3;68.3;389;521;0.9;31.6;16;3.9046137308662;30;28.1;0.044;0.055;NA;0;0;0
16.5;"01/01/2016 16:30";NA;44.6;205.5;45.6;387;502.3;1.2;31.1;16;3.79531520205911;30.4;28.2;0.044;0.055;NA;0;0;0
17;"01/01/2016 17:00";4.33668;-18.6;105.7;25.1;383.4;482.6;1.3;30.2;18;3.51942609483667;30.8;28.4;0.044;0.055;NA;0;0;0
17.5;"01/01/2016 17:30";10.7739;-61.1;32.7;10.4;378.5;461.9;0.7;29.1;20;3.22310753860732;31;28.7;0.044;0.055;NA;0;0;0
18;"01/01/2016 18:00";-2.77907;-75.4;-3.6;2.4;371.6;441;0.2;27.2;23;2.77768899294465;31.2;28.9;0.044;0.055;NA;0;0;0
18.5;"01/01/2016 18:30";-1.4568;-72.4;-6.8;2;365.2;428.7;0.2;24.7;28;2.2403591360037;31.2;29.1;0.044;0.055;NA;0;0;0
19;"01/01/2016 19:00";-0.29555;-68.1;-4.7;3.2;361.1;421.3;0.2;23.1;32;1.92200313677289;31.2;29.2;0.044;0.055;NA;0;0;0
19.5;"01/01/2016 19:30";-0.43071;-65;-3.4;4;358.6;416.2;0.2;22.3;33;1.80408525053455;31;29.3;0.044;0.055;NA;0;0;0
20;"01/01/2016 20:00";NA;-65.2;-1.4;5.5;356.3;414.5;0.6;22.1;34;1.75565896116422;30.8;29.3;0.043;0.055;NA;0;0;0
20.5;"01/01/2016 20:30";6.78938;-71;-1.6;5.1;355.4;419.6;1.6;23.1;31;1.95026788878426;30.6;29.2;0.044;0.055;NA;0;0;0
21;"01/01/2016 21:00";1.92846;-72.5;-3.1;3.5;354.3;420.2;1.9;23.1;30;1.97853264079563;30.3;29.2;0.044;0.055;NA;0;0;0
21.5;"01/01/2016 21:30";-3.78347;-70.9;-4;2.8;351.3;415.5;1.5;22.5;31;1.88065544855777;30.1;29.1;0.044;0.055;NA;0;0;0
22;"01/01/2016 22:00";-1.08062;-67.5;-4;3.1;348.2;408.7;1.1;21.8;32;1.7760728962049;29.9;29.2;0.043;0.055;NA;0;0;0
22.5;"01/01/2016 22:30";-2.70681;-64.3;-3.4;3.6;345.7;403;0.9;21.4;32;1.733164006961;29.7;29.2;0.043;0.055;NA;0;0;0
23;"01/01/2016 23:00";-2.38507;-63.4;-3.2;3.5;343.4;400;1;21.1;32;1.70157947373253;29.4;29.2;0.043;0.055;NA;0;0;0
23.5;"01/01/2016 23:30";1.65376;-61.5;-3.6;3.2;341;395.6;0.7;20.4;33;1.6058629749984;29.2;29.2;0.043;0.055;NA;0;0;0
0;"02/01/2016 00:00";0.74112;-60.6;-4.1;3.1;337.7;391.1;0.3;19.4;35;1.46434015136459;29;29.3;0.043;0.055;NA;0;0;0
0.5;"02/01/2016 00:30";NA;-61.9;-1.4;5.3;334.9;390;0.9;19.3;35;1.45525778103899;28.8;29.3;0.043;0.055;NA;0;0;0
1;"02/01/2016 01:00";NA;-61.9;-3.5;3.5;332.9;387.8;0.6;19.1;34;1.45935215844395;28.6;29.3;0.043;0.055;NA;0;0;0
1.5;"02/01/2016 01:30";-1.56773;-60.3;-3.9;3.1;329.3;382.6;0.3;17.6;37;1.26796732185522;28.4;29.3;0.043;0.055;NA;0;0;0
2;"02/01/2016 02:00";0.43205;-60.7;-1.5;5.2;327.9;381.9;0.3;17.2;38;1.2167039076989;28.2;29.3;0.043;0.055;NA;0;0;0
2.5;"02/01/2016 02:30";1.41745;-61;-0.8;5.9;326.5;380.8;0.6;17.7;37;1.27598701844241;28;29.3;0.043;0.055;NA;0;0;0
3;"02/01/2016 03:00";0.58417;-63;-2.2;4.4;324.7;381.1;1;17.6;37;1.26796732185522;27.8;29.2;0.043;0.055;NA;0;0;0
3.5;"02/01/2016 03:30";NA;-67.9;-2;4.4;323.7;385.1;1.6;17.6;37;1.26796732185522;27.6;29.2;0.043;0.054;NA;0;0;0
4;"02/01/2016 04:00";NA;-69.1;-3.7;3;321.1;383.6;1.5;17.2;37;1.23632816427469;27.4;29.1;0.043;0.054;NA;0;0;0
