"heure";"DateUTC";"LE";"Rnet";"Swin";"Swout";"Lwin";"Lwout";"Ws";"Tair";"RH";"VPD";"Tsoil1";"Tsoil2";"Hsoil1";"Hsoil2";"LAI";"P";"PA24Hv";"PA24H"
0;"01/01/2017 00:00";NA;-59.8;-1.6;4.6;352.9;406.5;1.4;21.7;30.3;1.80939108597155;29.8;30;0.038;0.056;NA;0;0;0
0.5;"01/01/2017 00:30";NA;-60.1;-2.6;3.7;352.6;406.4;1.4;21.5;30.4;1.7848361255762;29.7;30;0.038;0.056;NA;0;0;0
1;"01/01/2017 01:00";NA;-56.6;-3.2;3.1;350.8;401.1;1;21;31.2;1.71105971332318;29.5;30;0.038;0.055;NA;0;0;0
1.5;"01/01/2017 01:30";NA;-56.2;-2.7;3.5;349.3;399.4;1.1;20.6;31.9;1.6524821245442;29.3;30;0.038;0.055;NA;0;0;0
2;"01/01/2017 02:00";NA;-59;-2.6;3.3;349.1;402.2;1.5;20.5;31.7;1.64715099455465;29.1;30;0.038;0.055;NA;0;0;0
2.5;"01/01/2017 02:30";NA;-59.2;-2.9;3.1;348;401.1;1.5;20.3;31.7;1.62694652736082;28.9;29.9;0.038;0.055;NA;0;0;0
3;"01/01/2017 03:00";NA;-58.3;-3.1;3;346.5;398.7;1.3;19.9;32.1;1.57789127363459;28.7;29.9;0.038;0.055;NA;0;0;0
3.5;"01/01/2017 03:30";NA;-55.9;-3.1;3;344.7;394.6;1.1;19.4;33.2;1.50489110940237;28.5;29.9;0.038;0.055;NA;0;0;0
4;"01/01/2017 04:00";NA;-56.1;-3;3.2;343.2;393.1;1.2;19.1;33.6;1.46819671697998;28.4;29.9;0.038;0.055;NA;0;0;0
4.5;"01/01/2017 04:30";NA;-53.9;-2.8;3.4;341.9;389.6;1;18.9;33.8;1.44562385904998;28.2;29.9;0.038;0.055;NA;0;0;0
5;"01/01/2017 05:00";NA;-55;-2.6;3.2;341.6;390.8;1.3;18.7;34;1.42335730684994;28.1;29.9;0.038;0.055;NA;0;0;0
5.5;"01/01/2017 05:30";NA;-56.3;-2.8;2.9;340.9;391.6;1.4;18.4;34.8;1.37994157375212;27.9;29.9;0.038;0.055;NA;0;0;0
6;"01/01/2017 06:00";NA;-57.9;-2.2;3.3;340.8;393.1;1.8;18.5;34.6;1.39287435634653;27.7;29.8;0.038;0.055;NA;0;0;0
6.5;"01/01/2017 06:30";NA;-52.8;5.1;4.2;340.9;394.6;1.8;18.6;34.2;1.41019461772079;27.6;29.8;0.038;0.055;NA;0;0;0
7;"01/01/2017 07:00";NA;-18.7;52.7;13.4;340.1;398.1;1.8;18.3;35.5;1.3565930797248;27.4;29.7;0.038;0.055;NA;0;0;0
7.5;"01/01/2017 07:30";NA;45.2;142.4;30.7;342.8;409.3;2.4;19.1;34.6;1.44608532063992;27.2;29.6;0.038;0.055;NA;0;0;0
8;"01/01/2017 08:00";NA;119.7;245.8;49.3;347.5;424.2;2.9;20.3;32.4;1.61027211199987;27;29.5;0.038;0.055;NA;0;0;0
8.5;"01/01/2017 08:30";NA;191.2;348.3;69.2;354.5;442.3;3.5;21.8;29.6;1.8387578219533;26.8;29.4;0.038;0.055;NA;0;0;0
9;"01/01/2017 09:00";NA;255.1;443.7;88;362.8;463.4;3.6;23.5;26.2;2.13690171040683;26.6;29.2;0.038;0.055;NA;0;0;0
9.5;"01/01/2017 09:30";NA;314.1;533.9;105.9;369.7;483.6;4;24.8;24.1;2.37584853145859;26.5;29.1;0.039;0.055;NA;0;0;0
10;"01/01/2017 10:00";NA;361.3;609;120.4;375.2;502.5;3.8;25.7;23;2.54276047147452;26.5;29;0.039;0.055;NA;0;0;0
10.5;"01/01/2017 10:30";NA;390.1;662.7;131.1;381.2;522.7;3.1;26.7;22.2;2.72538728120112;26.6;28.9;0.039;0.055;NA;0;0;0
11;"01/01/2017 11:00";NA;415.3;710.4;141.1;385.4;539.4;3.1;27.3;21.9;2.83391617372121;26.8;28.8;0.039;0.055;NA;0;0;0
11.5;"01/01/2017 11:30";NA;431.4;745.1;148.4;389.9;555.2;2.9;28.1;21.5;2.98456621192167;27.1;28.7;0.039;0.056;NA;0;0;0
12;"01/01/2017 12:00";NA;433.1;759.4;151.3;395.5;570.5;2.4;29.3;20.3;3.2482924169915;27.4;28.7;0.039;0.056;NA;0;0;0
12.5;"01/01/2017 12:30";NA;428.3;756.2;150.2;398.8;576.5;2.6;29.9;19.3;3.40456223599999;27.9;28.7;0.039;0.056;NA;0;0;0
13;"01/01/2017 13:00";NA;412.5;736.3;145.6;402.2;580.4;2.4;30.6;18.9;3.56133776878732;28.4;28.7;0.039;0.056;NA;0;0;0
13.5;"01/01/2017 13:30";NA;394.7;710.4;138.8;404.5;581.4;2.3;31.1;18.3;3.69139585724082;28.8;28.7;0.039;0.056;NA;0;0;0
14;"01/01/2017 14:00";NA;365;667.6;129.5;405;578.2;2;31.4;17.9;3.77324811696763;29.3;28.7;0.039;0.056;NA;0;0;0
14.5;"01/01/2017 14:30";NA;320.5;601;116.3;406.4;570.7;1.8;32;17.4;3.92744447731226;29.8;28.7;0.039;0.056;NA;0;0;0
15;"01/01/2017 15:00";NA;265;520.7;101.5;406.4;560.6;2;32.3;17.3;3.99935341379255;30.2;28.7;0.039;0.056;NA;0;0;0
15.5;"01/01/2017 15:30";NA;198.1;421.7;83.5;404.9;545;1.7;32.4;17.5;4.01223173839362;30.7;28.8;0.039;0.056;NA;0;0;0
16;"01/01/2017 16:00";NA;132.8;321.9;64.4;402.7;527.4;1.7;32.3;17.5;3.98968145874106;31.1;28.9;0.039;0.056;NA;0;0;0
16.5;"01/01/2017 16:30";NA;67.8;221;43.7;400.4;510;1.5;32.2;17.5;3.96724132634194;31.4;29;0.039;0.056;NA;0;0;0
17;"01/01/2017 17:00";NA;0.1;115.2;21.6;396.6;490.1;1.6;31.6;18.3;3.79770168823534;31.7;29.2;0.039;0.056;NA;0;0;0
17.5;"01/01/2017 17:30";NA;-57;32.1;9.4;390.9;470.5;0.9;30.5;19.8;3.50175601504218;31.9;29.4;0.039;0.056;NA;0;0;0
18;"01/01/2017 18:00";NA;-70.8;-3.2;2.5;383.6;448.7;0.2;28.7;21.8;3.07854123930668;32.1;29.7;0.039;0.056;NA;0;0;0
18.5;"01/01/2017 18:30";NA;-68.6;-6.9;2.1;376.5;436.1;0.2;26.4;25;2.58130982589629;32.1;29.9;0.039;0.056;NA;0;0;0
19;"01/01/2017 19:00";NA;-65.9;-4.1;4.1;371.2;428.9;0.3;24.6;28.6;2.2084600692791;32;30.1;0.039;0.056;NA;0;0;0
