"heure";"DateUTC";"LE";"Rnet";"Swin";"Swout";"Lwin";"Lwout";"Ws";"Tair";"RH";"VPD";"Tsoil1";"Tsoil2";"Hsoil1";"Hsoil2";"LAI";"P";"PA24Hv";"PA24H"
0;"01/01/2015 00:00";0.73778;-76.74323;-2.13741;5.85582;328.95;397.7;0.2865;19.115;22.34;1.718777376146;25.895;26.955;0.045;0.048;NA;0;0;0
0.5;"01/01/2015 00:30";1.35731;-77.37956;-1.85793;5.87163;328.15;397.8;0.2165;18.805;22.465;1.6831320501221;25.765;26.96;0.045;0.048;NA;0;0;0
1;"01/01/2015 01:00";1.63613;-75.98698;-1.19901;5.83797;326.9;395.85;0.318;18.715;22.395;1.67520147172782;25.635;26.955;0.045;0.048;NA;0;0;0
1.5;"01/01/2015 01:30";1.9459;-75.81375;-1.27143;6.44232;326.1;394.2;0.4135;18.67;22.3;1.6725387527822;25.505;26.95;0.045;0.048;NA;0;0;0
2;"01/01/2015 02:00";0.34685;-75.2561;-1.49124;6.21486;326.25;393.8;0.37;18.665;22.04;1.67761066109338;25.38;26.945;0.045;0.048;NA;0;0;0
2.5;"01/01/2015 02:30";2.26097;-74.02146;-1.51674;6.05472;326.2;392.65;0.3415;18.29;22.425;1.63056917388201;25.26;26.935;0.045;0.048;NA;0;0;0
3;"01/01/2015 03:00";1.79378;-74.27974;-1.05468;6.22506;325.35;392.35;0.61;18.415;22.155;1.64911949432502;25.14;26.925;0.045;0.048;NA;0;0;0
3.5;"01/01/2015 03:30";4.7854;-76.68639;-1.63353;5.60286;324.35;393.8;0.8585;18.445;21.865;1.65837779502224;25.02;26.905;0.045;0.048;NA;0;0;0
4;"01/01/2015 04:00";6.43251;-77.17319;-2.05428;5.01891;324.35;394.45;1.0185;18.385;21.69;1.65585376496195;24.9;26.875;0.045;0.048;NA;0;0;0
4.5;"01/01/2015 04:30";5.89794;-76.24508;-2.32611;4.86897;324;393.05;0.955;18.205;21.66;1.63788881049;24.795;26.855;0.045;0.048;NA;0;0;0
5;"01/01/2015 05:00";6.04078;-74.72829;-2.31285;4.76544;322.55;390.2;0.935;17.825;21.95;1.59330287246238;24.7;26.84;0.045;0.048;NA;0;0;0
5.5;"01/01/2015 05:30";2.67183;-72.7849;-2.46789;4.66701;321.2;386.85;0.81;17.495;22.26;1.55429922302131;24.63;26.83;0.045;0.048;NA;0;0;0
6;"01/01/2015 06:00";4.53589;-73.90803;-1.71819;4.98984;320.15;387.35;1.24;17.275;22.615;1.52584461084699;24.56;26.825;0.045;0.048;NA;0;0;0
