"heure";"DateUTC";"LE";"Rnet";"Swin";"Swout";"Lwin";"Lwout";"Ws";"Tair";"RH";"VPD";"Tsoil1";"Tsoil2";"Hsoil1";"Hsoil2";"LAI";"P";"PA24Hv";"PA24H"
0;"01/01/2009 00:00";0.30642;-57.731;-0.1165;5.5145;341.45;393.55;0.3185;21.48;23.13;1.96885839406153;27.165;28.175;0.051;0.069;0.678;0;0;0
0.5;"01/01/2009 00:30";0.52731;-57.687;-0.2605;5.4765;340.8;392.75;0.34;21.78;22.855;2.0124698380102;26.925;28.165;0.051;0.069;0.678;0;0;0
1;"01/01/2009 01:00";0.89989;-56.965;-0.7035;4.6615;339.4;391;0.285;21.145;23.33;1.92383616363325;26.7;28.145;0.051;0.069;0.678;0;0;0
1.5;"01/01/2009 01:30";2.33374;-58.08;-0.8455;4.6845;337;389.55;0.677;21.705;23.195;1.99444388079524;26.48;28.115;0.051;0.069;0.678;0;0;0
2;"01/01/2009 02:00";0.37781;-58.07;-1.585;4.135;334.4;386.75;0.603;21.125;23.985;1.90506128831828;26.275;28.085;0.051;0.069;0.678;0;0;0
2.5;"01/01/2009 02:30";1.57782;-59.44;-1.5675;3.9725;332.55;386.45;0.855;21.025;24.445;1.88194436573835;26.08;28.06;0.051;0.069;0.677;0;0;0
3;"01/01/2009 03:00";2.67337;-60.795;-2.109;3.436;330.65;385.9;1;20.73;25.08;1.83258597716132;25.875;28.015;0.051;0.069;0.677;0;0;0
3.5;"01/01/2009 03:30";3.3717;-63.0455;-2.0005;3.545;329.5;387;1.182;20.59;25.31;1.81127551490042;25.685;27.975;0.051;0.069;0.677;0;0;0
4;"01/01/2009 04:00";2.10717;-62.461;-2.5045;2.8565;327.85;384.95;1.1915;20.235;26.01;1.75542292995833;25.5;27.93;0.051;0.069;0.677;0;0;0
4.5;"01/01/2009 04:30";2.72299;-64.5965;-2.198;3.2485;326.85;386;1.332;20.01;26.49;1.71993487980171;25.33;27.89;0.051;0.069;0.677;0;0;0
5;"01/01/2009 05:00";2.63714;-67.3275;-2.904;2.6235;325.05;386.85;1.5085;19.62;27.18;1.66309238062341;25.165;27.84;0.051;0.069;0.677;0;0;0
5.5;"01/01/2009 05:30";2.0044;-63.7655;-2.869;2.6965;323.1;381.3;1.2085;19.09;28.19;1.5868298235458;25.015;27.8;0.051;0.069;0.677;0;0;0
6;"01/01/2009 06:00";NA;-58.8935;-2.5345;2.709;320.9;374.55;0.805;18.265;29.71;1.47512830134231;24.88;27.76;0.051;0.069;0.677;0;0;0
6.5;"01/01/2009 06:30";1.15408;-53.1655;6.742;4.9075;319.95;374.95;0.935;17.925;30.61;1.42546214162013;24.74;27.725;0.051;0.069;0.677;0;0;0
7;"01/01/2009 07:00";0.87564;-20.355;61.3;16.855;319.8;384.6;0.633;17.905;31.025;1.41515498934475;24.57;27.67;0.051;0.069;0.677;0;0;0
7.5;"01/01/2009 07:30";10.3257;38.785;157.9;34.165;322.7;407.65;0.8535;19.225;30.16;1.55633430804237;24.33;27.555;0.051;0.069;0.677;0;0;0
8;"01/01/2009 08:00";48.0139;117.2;270.4;50.2;329.95;432.95;1.66;21.765;26.33;1.92005869407745;24.095;27.345;0.052;0.069;0.677;0;0;0
8.5;"01/01/2009 08:30";29.1558;197.7;383.3;67.65;337.85;455.8;2.885;24.26;20.935;2.39630358150529;23.985;27.125;0.052;0.069;0.676;0;0;0
9;"01/01/2009 09:00";36.7463;271.1;488.1;84.45;344.25;476.8;3.542;26.025;17.795;2.76735792407524;24.07;26.955;0.052;0.069;0.676;0;0;0
