"heure";"DateUTC";"LE";"Rnet";"Swin";"Swout";"Lwin";"Lwout";"Ws";"Tair";"RH";"VPD";"Tsoil1";"Tsoil2";"Hsoil1";"Hsoil2";"LAI";"P";"PA24Hv";"PA24H"
0;"01/01/2013 00:00";NA;-74.862;-2.2585;3.8535;326.1;394.85;1.3865;19.67;26.115;1.69266064466085;27.485;29.145;0.026;0.076;0.634;0;0;0
0.5;"01/01/2013 00:30";NA;-75.3585;-2.7495;3.509;326.55;395.65;1.347;19.89;25.075;1.74006307657743;27.225;29.11;0.026;0.077;0.634;0;0;0
1;"01/01/2013 01:00";NA;-71.8695;-2.537;3.5825;324.95;390.7;1.193;19.325;25.62;1.66785562894134;27;29.09;0.026;0.076;0.634;0;0;0
1.5;"01/01/2013 01:30";NA;-75.9765;-2.352;3.7245;324;393.9;1.5615;19.205;26.05;1.64587126027576;26.785;29.06;0.026;0.076;0.633;0;0;0
2;"01/01/2013 02:00";NA;-78.0475;-2.6205;3.327;323.65;395.75;2.04;19.15;26.05;1.64024128821061;26.58;29.03;0.026;0.076;0.633;0;0;0
2.5;"01/01/2013 02:30";NA;-76.993;-3.0565;2.8865;322.85;393.9;1.8065;18.825;26.525;1.59699170950551;26.39;28.985;0.026;0.076;0.633;0;0;0
3;"01/01/2013 03:00";NA;-75.294;-2.869;2.975;322;391.45;1.765;18.355;27.36;1.53307624073907;26.23;28.955;0.026;0.076;0.633;0;0;0
3.5;"01/01/2013 03:30";NA;-74.036;-3.041;2.795;321.45;389.65;1.615;18.045;27.965;1.49100663646973;26.07;28.92;0.026;0.076;0.633;0;0;0
4;"01/01/2013 04:00";NA;-71.0065;-3.317;2.5395;319.55;384.7;1.3135;17.325;29.43;1.39587491562162;25.92;28.88;0.026;0.076;0.633;0;0;0
4.5;"01/01/2013 04:30";NA;-70.322;-2.7625;2.9595;318.25;382.85;1.445;16.865;30.81;1.32928771341803;25.775;28.85;0.026;0.076;0.632;0;0;0
5;"01/01/2013 05:00";NA;-68.0095;-2.7855;2.874;317.6;379.95;1.2835;16.59;31.47;1.29381315853426;25.61;28.8;0.026;0.076;0.632;0;0;0
5.5;"01/01/2013 05:30";NA;-68.5305;-2.2765;3.304;317.95;380.9;1.485;16.52;31.63;1.28505910802844;25.45;28.755;0.026;0.076;0.632;0;0;0
6;"01/01/2013 06:00";NA;-69.4475;-2.3675;3.18;317.2;381.1;1.47;16.545;31.44;1.29068101683885;25.28;28.695;0.026;0.076;0.632;0;0;0
6.5;"01/01/2013 06:30";NA;-63.6365;5.7;4.0865;316.5;381.75;1.662;16.235;32.085;1.25354775480498;25.115;28.635;0.026;0.076;0.632;0;0;0
7;"01/01/2013 07:00";NA;-26.345;57.14;12.435;316.55;387.6;1.667;16.165;32.885;1.23326397804806;24.96;28.575;0.026;0.076;0.631;0;0;0
7.5;"01/01/2013 07:30";10.7099;42.54;150.8;26.66;319.2;400.8;2.385;17.215;31.1;1.35339508198839;24.795;28.48;0.026;0.076;0.631;0;0;0
8;"01/01/2013 08:00";8.6121;127.06;262.45;42.19;323.4;416.6;3.025;18.595;28.24;1.53744536464277;24.635;28.355;0.027;0.076;0.631;0;0;0
8.5;"01/01/2013 08:30";16.8696;209.335;373.6;58.215;328.4;434.45;3.2985;20.04;25.705;1.7415322983385;24.545;28.2;0.027;0.077;0.631;0;0;0
9;"01/01/2013 09:00";15.9582;281.875;474.85;73.625;335.95;455.3;3.6885;22.04;22.29;2.05961350925642;24.545;28.04;0.027;0.077;0.631;0;0;0
9.5;"01/01/2013 09:30";17.4902;341.55;559.8;87.2;341.2;472.25;4.1985;23.2;20.2;2.26919511653626;24.675;27.9;0.027;0.077;0.631;0;0;0
10;"01/01/2013 10:00";21.5515;389.25;629.6;98.4;346.95;488.9;4.075;24.39;18.375;2.49322278576546;24.925;27.8;0.027;0.076;0.63;0;0;0
10.5;"01/01/2013 10:30";23.8202;420.3;681.4;107.2;352.1;506;4.592;25.41;17.06;2.69220683879011;25.265;27.7;0.027;0.076;0.63;0;0;0
